Number of bands=29,,,,,,,
Number of spectra=6,,,,,,,
Ref Reflectance=95.00,,,,,,,
Data type=0, reflectance in %,,,,,,
 Wavelength (nm),(305_291)-(1249_853),(1508_286)-(2738_1320),(2839_138)-(4107_1340),(4213_133)-(5248_1292),(5306_52)-(6470_1235),(6595_52)-(7801_1402),
426.15,6.99,9.35,8.55,8.64,8.52,9.12,8.528333333
444.62,4.26,5.01,4.76,4.63,4.7,4.97,4.721666667
470,3.62,4.05,3.79,3.52,3.65,3.96,3.765
481.51,3.57,3.95,3.64,3.3,3.45,3.82,3.621666667
499.92,3.94,4.18,3.83,3.3,3.49,3.97,3.785
518.31,5.04,5.17,4.96,4.15,4.46,5.08,4.81
536.68,6.9,7.87,7.9,7.15,7.67,8.45,7.656666667
550,7.43,8.98,8.9,8.22,8.81,9.74,8.68
573.36,7.12,9.16,8.54,7.83,8.32,9.58,8.425
591.67,6.24,7.93,7.03,6.14,6.52,7.85,6.951666667
609.96,5.76,7.36,6.31,5.38,5.74,7.09,6.273333333
620,5.4,6.89,5.8,4.84,5.18,6.51,5.77
646.47,4.72,6.13,4.9,3.94,4.21,5.54,4.906666667
664.7,4.2,5.4,4.19,3.21,3.43,4.68,4.185
682.9,4.39,4.89,4.07,2.86,3.1,4.23,3.923333333
701.08,6.86,6.84,7.24,5.19,5.92,7.13,6.53
719.25,12.45,14.23,17.24,15.07,16.89,18.03,15.65166667
737.39,18.07,22.35,29.47,28.77,31.84,31.24,26.95666667
755.51,21.52,28.51,38.64,40.46,43.84,41.14,35.685
773.61,21.64,28.99,40.02,42.25,45.74,42.72,36.89333333
791.69,21.62,29.42,40.32,42.63,46.05,43.14,37.19666667
809.75,21.04,28.98,39.82,41.99,45.43,42.73,36.665
827.79,20.39,28.18,39,40.86,44.38,41.96,35.795
845.8,20.36,28.21,38.96,40.86,44.34,41.97,35.78333333
863.8,20.08,28.05,38.78,40.68,44.15,41.89,35.605
881.78,19.51,27.73,38.34,40.2,43.63,41.57,35.16333333
899.73,18.43,26.84,37.09,38.72,42.1,40.47,33.94166667
917.66,17.22,25.15,35.1,36.3,39.74,38.52,32.005
935.58,17.16,24.82,33.82,34.96,37.92,37.4,31.01333333
