Number of bands=29,,,,,,,
Number of spectra=6,,,,,,,
Ref Reflectance=95.00,,,,,,,
Data type=0, reflectance in %,,,,,,
 Wavelength (nm),(205_233)-(1010_1087),(1098_127)-(1937_1081),(2044_53)-(2939_1012),(2993_24)-(3733_900),(3837_155)-(4524_1056),(4568_155)-(5298_1016),
426.15,11.81,10.28,9.22,9.89,10.6,9.74,10.25666667
444.62,8.39,7.02,5.82,6.08,6.13,5.78,6.536666667
470,9.4,7.27,5.55,5.9,5.68,5.38,6.53
481.51,9.85,7.56,5.66,6.04,5.77,5.46,6.723333333
499.92,11.15,8.53,6.28,6.74,6.35,6.03,7.513333333
518.31,13.26,10.17,7.79,8.3,7.87,7.68,9.178333333
536.68,16.35,12.57,10.49,11.14,11.02,11.35,12.15333333
550,17.99,13.67,11.56,12.34,12.35,12.79,13.45
573.36,19.59,14.45,11.89,12.89,12.87,13.08,14.12833333
591.67,19.65,14.13,11.13,12.15,11.84,11.69,13.43166667
609.96,19.71,13.94,10.77,11.82,11.36,11.05,13.10833333
620,19.38,13.57,10.36,11.38,10.86,10.48,12.67166667
646.47,18.86,12.87,9.6,10.62,9.98,9.49,11.90333333
664.7,18.17,12.18,8.84,9.8,9.06,8.44,11.08166667
682.9,17.3,11.66,8.3,9.13,8.31,7.76,10.41
701.08,19.77,13.53,10.72,11.51,10.86,10.97,12.89333333
719.25,24.47,17.3,16.55,17.46,18.49,20.67,19.15666667
737.39,27.9,20.06,21.81,22.69,25.52,30.24,24.70333333
755.51,29.84,21.78,24.86,25.91,29.63,35.87,27.98166667
773.61,30.02,21.55,24.74,25.78,29.64,36.12,27.975
791.69,30.43,21.72,24.91,26.09,30.07,36.58,28.3
809.75,30.44,21.41,24.55,25.76,29.75,36.21,28.02
827.79,30.24,20.8,23.82,25.08,29.11,35.49,27.42333333
845.8,30.25,20.8,23.88,25.14,29.11,35.52,27.45
863.8,30.19,20.59,23.7,24.96,28.95,35.44,27.305
881.78,30.01,20.19,23.32,24.59,28.62,35.11,26.97333333
899.73,29.39,19.4,22.25,23.66,27.82,34.12,26.10666667
917.66,28.4,18.36,21.03,22.32,26.37,32.34,24.80333333
935.58,28.25,18.48,20.99,21.96,25.9,31.52,24.51666667
