Number of bands=29
Number of spectra=2
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(141_239)-(3510_1062),(3680_39)-(7270_1350)
426.15,11.02,8.81
444.62,7.64,5.31
470.00,8.40,4.77
481.51,8.79,4.78
499.92,9.89,5.20
518.31,11.90,6.69
536.68,15.47,10.37
550.00,17.19,11.76
573.36,18.36,11.71
591.67,17.83,10.12
609.96,17.64,9.43
620.00,17.21,8.85
646.47,16.58,7.88
664.70,15.81,6.96
682.90,15.05,6.47
701.08,17.98,10.04
719.25,25.28,21.14
737.39,31.95,33.40
755.51,36.16,41.48
773.61,36.53,42.32
791.69,37.25,42.88
809.75,37.25,42.58
827.79,37.01,41.93
845.80,37.06,41.93
863.80,37.08,41.87
881.78,36.97,41.60
899.73,36.33,40.58
917.66,35.02,38.83
935.58,34.61,37.66
