Number of bands=29
Number of spectra=2
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(64_190)-(748_1121),(783_66)-(1713_1089)
426.15,9.34,9.20
444.62,5.20,5.30
470.00,4.35,4.56
481.51,4.27,4.51
499.92,4.56,4.82
518.31,5.88,6.24
536.68,9.70,10.03
550.00,11.18,11.42
573.36,11.24,11.29
591.67,9.43,9.51
609.96,8.63,8.72
620.00,8.00,8.09
646.47,6.98,7.04
664.70,5.96,6.04
682.90,5.30,5.47
701.08,8.27,8.80
719.25,19.57,20.07
737.39,32.19,32.90
755.51,40.87,41.95
773.61,41.80,42.93
791.69,42.53,43.61
809.75,42.24,43.27
827.79,41.65,42.54
845.80,41.56,42.56
863.80,41.47,42.51
881.78,41.21,42.25
899.73,40.41,41.23
917.66,38.59,39.30
935.58,37.86,38.23
