Number of bands=29,,,,,,,
Number of spectra=6,,,,,,,
Ref Reflectance=95.00,,,,,,,
Data type=0, reflectance in %,,,,,,
 Wavelength (nm),(208_148)-(1418_1061),(1526_143)-(2871_1098),(2950_162)-(4323_1172),(4393_143)-(5511_1154),(5600_134)-(6448_1149),(6607_125)-(7631_1144),
426.15,8.73,9.03,8.9,8.8,7.96,8.1,8.586666667
444.62,4.87,5.11,4.93,4.69,4.33,4.36,4.715
470,3.99,4.3,4.01,3.66,3.34,3.39,3.781666667
481.51,3.87,4.21,3.86,3.46,3.14,3.2,3.623333333
499.92,4.1,4.51,4.04,3.58,3.22,3.29,3.79
518.31,5.22,5.75,5.22,4.58,4.3,4.23,4.883333333
536.68,8.26,8.92,8.62,7.69,7.09,7.11,7.948333333
550,9.4,10.11,9.86,8.82,8,8.14,9.055
573.36,9.27,10.03,9.61,8.55,7.57,7.92,8.825
591.67,7.8,8.57,7.92,6.91,6.12,6.47,7.298333333
609.96,7.15,7.94,7.17,6.16,5.45,5.84,6.618333333
620,6.65,7.45,6.61,5.63,4.97,5.36,6.111666667
646.47,5.8,6.57,5.62,4.71,4.08,4.53,5.218333333
664.7,5.07,5.82,4.77,3.94,3.37,3.82,4.465
682.9,4.85,5.57,4.37,3.66,3.2,3.48,4.188333333
701.08,7.81,8.69,7.57,6.59,6.36,5.98,7.166666667
719.25,17.63,18.57,18.4,16.94,15.79,14.96,17.04833333
737.39,29.19,29.55,31.3,30.04,27.27,26.34,28.94833333
755.51,37.87,37.31,40.88,40.51,35.85,35.36,37.96333333
773.61,39.22,38.46,42.39,42.27,37.14,36.64,39.35333333
791.69,39.61,38.82,42.72,42.65,37.38,36.97,39.69166667
809.75,39.27,38.48,42.34,42.17,36.88,36.5,39.27333333
827.79,38.62,37.88,41.61,41.35,36.11,35.6,38.52833333
845.8,38.64,37.91,41.59,41.3,36.07,35.61,38.52
863.8,38.54,37.83,41.49,41.17,35.88,35.47,38.39666667
881.78,38.22,37.51,41.16,40.78,35.45,35.09,38.035
899.73,37.21,36.55,40.04,39.61,34.2,33.86,36.91166667
917.66,35.45,34.95,38.21,37.65,32.35,31.86,35.07833333
935.58,34.52,34.1,37.08,36.59,31.17,30.75,34.035
