Number of bands=29
Number of spectra=2
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(161_146)-(947_1072),(1037_61)-(2564_1107)
426.15,10.01,9.55
444.62,5.41,5.78
470.00,4.46,5.34
481.51,4.39,5.40
499.92,4.63,5.90
518.31,5.83,7.44
536.68,9.62,11.10
550.00,11.16,12.55
573.36,11.32,12.76
591.67,9.44,11.33
609.96,8.58,10.74
620.00,7.94,10.20
646.47,6.91,9.32
664.70,5.90,8.43
682.90,5.24,7.90
701.08,7.84,11.10
719.25,19.10,21.09
737.39,32.33,32.01
755.51,42.49,39.62
773.61,43.73,40.51
791.69,44.65,41.11
809.75,44.25,40.85
827.79,43.49,40.26
845.80,43.49,40.30
863.80,43.43,40.26
881.78,43.14,39.99
899.73,42.33,39.07
917.66,40.22,37.32
935.58,39.54,36.31
