Number of bands=29,,,,,,,
Number of spectra=6,,,,,,,
Ref Reflectance=95.00,,,,,,,
Data type=0, reflectance in %,,,,,,
 Wavelength (nm),(96_188)-(1351_1051),(1460_153)-(2305_1101),(2513_119)-(3258_1059),(3343_84)-(4403_1086),(4523_88)-(5452_1140),(5526_53)-(6440_1163),
426.15,11.07,11.29,12.85,11.74,9.4,10.17,11.08666667
444.62,7.82,8.55,9.59,8.96,6.57,6.41,7.983333333
470,8.53,9.57,10.96,10.24,6.83,6.38,8.751666667
481.51,8.91,10.04,11.51,10.76,7.1,6.57,9.148333333
499.92,10.05,11.38,13.03,12.21,8.06,7.31,10.34
518.31,11.91,13.54,15.48,14.63,10.19,8.93,12.44666667
536.68,14.55,16.43,19.07,18.19,13.5,11.66,15.56666667
550,15.86,17.86,21,19.96,14.82,12.87,17.06166667
573.36,17.02,19.12,22.92,21.49,15.22,13.49,18.21
591.67,16.96,19.13,23.11,21.47,14.51,12.86,18.00666667
609.96,16.92,19.07,23.25,21.5,14.13,12.53,17.9
620,16.61,18.75,22.91,21.14,13.71,12.11,17.53833333
646.47,16.08,18.17,22.43,20.59,12.9,11.36,16.92166667
664.7,15.47,17.39,21.72,19.75,11.97,10.56,16.14333333
682.9,14.93,16.81,20.67,18.92,11.61,9.83,15.46166667
701.08,16.83,19.32,23.53,22.22,15.68,12.18,18.29333333
719.25,20.56,23.21,28.69,27.57,23.33,17.76,23.52
737.39,23.27,25.91,32.27,31.36,29.7,22.44,27.49166667
755.51,25.04,27.37,34.23,33.39,32.67,25.03,29.62166667
773.61,24.86,27.4,34.54,33.68,32.97,24.91,29.72666667
791.69,25.27,27.73,35.1,34.14,33.21,25.21,30.11
809.75,25.11,27.6,35.29,34.25,33.07,24.88,30.03333333
827.79,24.64,27.29,35.3,34.17,32.73,24.3,29.73833333
845.8,24.71,27.31,35.35,34.21,32.78,24.31,29.77833333
863.8,24.58,27.2,35.37,34.23,32.69,24.12,29.69833333
881.78,24.32,26.95,35.35,34.14,32.44,23.82,29.50333333
899.73,23.57,26.2,34.85,33.45,31.5,22.97,28.75666667
917.66,22.56,25.34,33.93,32.55,30.47,21.85,27.78333333
935.58,22.47,25.28,33.98,32.22,29.75,21.9,27.6
