"source","PlotNo","oatName","peaName"
"oatE 107   plots 1","174","IL23-621","NDP170177Y peaE 222"
"oatE 109   plots 1","190","IL23-660","NDP250032Y peaE 6"
"oatE 110   plots 1","026","IL23-661","NDP250075Y peaE 49"
"oatE 111   plots 4","240","IL23-669","NDP170252Y peaE 233"
"oatE 111   plots 4","271","IL23-669","NDP250140G peaE 114"
"oatE 111   plots 4","301","IL23-669","NDP150476G peaE 186"
"oatE 111   plots 4","370","IL23-669","NDP170006G peaE 193"
"oatE 112   plots 2","202","IL23-723","NDP250084Y peaE 58"
"oatE 112   plots 2","223","IL23-723","NDP250128Y peaE 102"
"oatE 113   plots 1","008","IL23-739","NDP250063Y peaE 37"
"oatE 114   plots 2","031","IL23-763","NDP170057G peaE 208"
"oatE 114   plots 2","128","IL23-763","NDP250152Y peaE 126"
"oatE 115   plots 2","113","IL23-771","NDP250138G peaE 112"
"oatE 115   plots 2","156","IL23-771","NDP250052Y peaE 26"
"oatE 117   plots 1","338","IL23-875","NDP170043G peaE 204"
"oatE 118   plots 1","314","IL23-906","NDP170039G peaE 203"
"oatE 121   plots 2","230","IL23-913","NDP250071Y peaE 45"
"oatE 121   plots 2","349","IL23-913","NDP250036Y peaE 10"
"oatE 122   plots 2","387","IL23-923","NDP170039G peaE 203"
"oatE 122   plots 2","394","IL23-923","NDP250106G peaE 80"
"oatE 123   plots 1","322","IL23-939","NDP250177Y peaE 151"
"oatE 124   plots 2","180","IL23-943","NDP170111G peaE 216"
"oatE 124   plots 2","278","IL23-943","NDP170008G peaE 194"
"oatE 125   plots 2","157","IL23-951","NDP170028G peaE 200"
"oatE 125   plots 2","377","IL23-951","NDP170183Y peaE 225"
"oatE 126   plots 1","132","IL23-957","NDP170037G peaE 202"
"oatE 128   plots 4","126","IL23-963","NDP250104G peaE 78"
"oatE 128   plots 4","145","IL23-963","NDP170156Y peaE 220"
"oatE 128   plots 4","173","IL23-963","NDP250053G peaE 27"
"oatE 128   plots 4","195","IL23-963","NDP150084Y peaE 173"
"oatE 129   plots 1","320","IL23-965","NDP170182Y peaE 224"
"oatE 130   plots 4","171","IL23-971","NDP150084Y peaE 173"
"oatE 130   plots 4","225","IL23-971","NDP150221G peaE 179"
"oatE 130   plots 4","249","IL23-971","NDP250094Y peaE 68"
"oatE 130   plots 4","275","IL23-971","NDP121711R peaE 168"
"oatE 131   plots 1","116","IL23-1037","NDP250113G peaE 87"
"oatE 132   plots 1","067","IL23-1115","NDP250049Y peaE 23"
"oatE 133   plots 1","191","IL23-1129","NDP250135Y peaE 109"
"oatE 134   plots 1","226","IL23-1163","NDP170089G peaE 210"
"oatE 135   plots 1","095","IL23-1165","NDP250184G peaE 158"
"oatE 136   plots 2","096","IL23-1206","NDP250059Y peaE 33"
"oatE 136   plots 2","329","IL23-1206","NDP170011G peaE 195"
"oatE 137   plots 4","041","IL23-1209","NDP250187G peaE 161"
"oatE 137   plots 4","089","IL23-1209","NDP170089G peaE 210"
"oatE 137   plots 4","246","IL23-1209","NDP250112G peaE 86"
"oatE 137   plots 4","307","IL23-1209","NDP250051Y peaE 25"
"oatE 139   plots 2","054","IL23-1228","NDP170202Y peaE 229"
"oatE 139   plots 2","129","IL23-1228","NDP170006G peaE 193"
"oatE 140   plots 2","076","IL23-1236","NDP250111G peaE 85"
"oatE 140   plots 2","090","IL23-1236","NDP250049Y peaE 23"
"oatE 142   plots 3","155","IL23-1348","NDP170054Y peaE 206"
"oatE 142   plots 3","260","IL23-1348","NDP150119G peaE 175"
"oatE 142   plots 3","385","IL23-1348","NDP160153Y peaE 189"
"oatE 144   plots 3","028","IL23-1364","NDP170037G peaE 202"
"oatE 144   plots 3","046","IL23-1364","NDP250140G peaE 114"
"oatE 144   plots 3","292","IL23-1364","NDP170151Y peaE 218"
"oatE 145   plots 2","098","IL23-1409","NDP250053G peaE 27"
"oatE 145   plots 2","368","IL23-1409","NDP170094Y peaE 211"
"oatE 148   plots 2","047","IL23-1414","NDP250183G peaE 157"
"oatE 148   plots 2","218","IL23-1414","NDP170104Y peaE 214"
"oatE 149   plots 1","219","IL23-1421","NDP150221G peaE 179"
"oatE 150   plots 1","227","IL23-1422","ND DAWN peaE 164"
"oatE 151   plots 1","391","IL23-1423","NDP170043G peaE 204"
"oatE 154   plots 1","112","IL23-1432","NDP250042Y peaE 16"
"oatE 157   plots 1","100","IL23-1462","NDP250065Y peaE 39"
"oatE 159   plots 2","111","IL23-1547","NDP250079Y peaE 53"
"oatE 159   plots 2","339","IL23-1547","NDP170350Y peaE 239"
"oatE 160   plots 1","150","IL23-1556","NDP250117G peaE 91"
"oatE 161   plots 3","027","IL23-1608","NDP250146G peaE 120"
"oatE 161   plots 3","056","IL23-1608","ND VICTORY peaE 165"
"oatE 161   plots 3","365","IL23-1608","NDP250165Y peaE 139"
"oatE 162   plots 1","221","IL23-1610","NDP250035G peaE 9"
"oatE 163   plots 1","169","IL23-1613","NDP120083Y peaE 166"
"oatE 164   plots 3","012","IL23-1614","NDP121711R peaE 168"
"oatE 164   plots 3","052","IL23-1614","NDP250115G peaE 89"
"oatE 164   plots 3","266","IL23-1614","NDP250037Y peaE 11"
"oatE 165   plots 1","198","IL23-1617","NDP170328G peaE 237"
"oatE 166   plots 4","005","IL23-1619","NDP150221G peaE 179"
"oatE 166   plots 4","120","IL23-1619","NDP250131Y peaE 105"
"oatE 166   plots 4","280","IL23-1619","NDP170151Y peaE 218"
"oatE 166   plots 4","386","IL23-1619","NDP170161Y peaE 221"
"oatE 167   plots 1","199","IL23-1621","NDP170151Y peaE 218"
"oatE 168   plots 2","021","IL23-1623","NDP250087Y peaE 61"
"oatE 168   plots 2","205","IL23-1623","NDP150232Y peaE 183"
"oatE 169   plots 1","321","IL23-1628","NDP120083Y peaE 166"
"oatE 170   plots 1","353","IL23-1631","NDP170153Y peaE 219"
"oatE 171   plots 1","039","IL23-1632","NDP170185Y peaE 226"
"oatE 172   plots 3","085","IL23-1638","NDP170185Y peaE 226"
"oatE 172   plots 3","093","IL23-1638","NDP250064Y peaE 38"
"oatE 172   plots 3","123","IL23-1638","NDP250133G peaE 107"
"oatE 173   plots 3","063","IL23-1644","NDP170183Y peaE 225"
"oatE 173   plots 3","070","IL23-1644","NDP170039G peaE 203"
"oatE 173   plots 3","183","IL23-1644","NDP250175Y peaE 149"
"oatE 174   plots 2","007","IL23-1650","NDP250163Y peaE 137"
"oatE 174   plots 2","108","IL23-1650","NDP250134G peaE 108"
"oatE 177   plots 1","281","IL23-1655","NDP170011G peaE 195"
"oatE 178   plots 2","059","IL23-1657","NDP170027G peaE 199"
"oatE 178   plots 2","184","IL23-1657","NDP250090Y peaE 64"
"oatE 180   plots 1","066","IL23-1663","NDP150210Y peaE 177"
"oatE 181   plots 3","057","IL23-1666","NDP170094Y peaE 211"
"oatE 181   plots 3","247","IL23-1666","NDP250046Y peaE 20"
"oatE 181   plots 3","263","IL23-1666","NDP250103G peaE 77"
"oatE 182   plots 2","208","IL23-1668","NDP250157Y peaE 131"
"oatE 182   plots 2","222","IL23-1668","NDP170183Y peaE 225"
"oatE 183   plots 3","277","IL23-1669","NDP250089Y peaE 63"
"oatE 183   plots 3","298","IL23-1669","NDP250120G peaE 94"
"oatE 183   plots 3","336","IL23-1669","NDP170183Y peaE 225"
"oatE 184   plots 2","175","IL23-1753","NDP250042Y peaE 16"
"oatE 184   plots 2","204","IL23-1753","ND DAWN peaE 164"
"oatE 186   plots 3","049","IL23-1775","NDP250038Y peaE 12"
"oatE 186   plots 3","110","IL23-1775","NDP250069Y peaE 43"
"oatE 186   plots 3","319","IL23-1775","NDP250106G peaE 80"
"oatE 187   plots 1","237","IL23-1806","NDP250077Y peaE 51"
"oatE 188   plots 4","022","IL23-1815","NDP250179Y peaE 153"
"oatE 188   plots 4","058","IL23-1815","NDP250170Y peaE 144"
"oatE 188   plots 4","189","IL23-1815","NDP170336G peaE 238"
"oatE 188   plots 4","382","IL23-1815","NDP250148G peaE 122"
"oatE 191   plots 1","179","IL23-1847","NDP150210Y peaE 177"
"oatE 192   plots 1","384","IL23-1859","NDP250061Y peaE 35"
"oatE 193   plots 1","214","IL23-1947","NDP250141G peaE 115"
"oatE 196   plots 1","020","IL23-2021","NDP170181Y peaE 223"
"oatE 197   plots 1","064","IL23-2034","NDP250082Y peaE 56"
"oatE 198   plots 1","188","IL23-2134","NDP150476G peaE 186"
"oatE 200   plots 2","216","IL23-2235","NDP250081Y peaE 55"
"oatE 200   plots 2","287","IL23-2235","ND DAWN peaE 164"
"oatE 203   plots 1","393","IL23-2371","NDP170001G peaE 191"
"oatE 204   plots 1","235","IL23-2443","NDP170054Y peaE 206"
"oatE 205   plots 2","136","IL23-2458","NDP170089G peaE 210"
"oatE 205   plots 2","299","IL23-2458","NDP250164Y peaE 138"
"oatE 207   plots 3","131","IL23-2625","NDP150218Y peaE 178"
"oatE 207   plots 3","149","IL23-2625","NDP250101Y peaE 75"
"oatE 207   plots 3","289","IL23-2625","NDP250178Y peaE 152"
"oatE 208   plots 3","013","IL23-2751","NDP250055G peaE 29"
"oatE 208   plots 3","273","IL23-2751","NDP250034Y peaE 8"
"oatE 208   plots 3","372","IL23-2751","NDP250034Y peaE 8"
"oatE 209   plots 1","088","IL23-2843","NDP250126Y peaE 100"
"oatE 211   plots 2","211","IL23-2954","NDP250147G peaE 121"
"oatE 211   plots 2","241","IL23-2954","NDP250077Y peaE 51"
"oatE 212   plots 1","399","IL23-2956","NDP250085Y peaE 59"
"oatE 215   plots 3","290","IL23-3312","NDP170182Y peaE 224"
"oatE 215   plots 3","371","IL23-3312","NDP250158Y peaE 132"
"oatE 215   plots 3","376","IL23-3312","NDP250152Y peaE 126"
"oatE 217   plots 5","097","IL23-3337","NDP170037G peaE 202"
"oatE 217   plots 5","127","IL23-3337","NDP250043Y peaE 17"
"oatE 217   plots 5","159","IL23-3337","NDP250044Y peaE 18"
"oatE 217   plots 5","293","IL23-3337","NDP250071Y peaE 45"
"oatE 217   plots 5","333","IL23-3337","NDP160188Y peaE 190"
"oatE 219   plots 1","014","IL23-3443","NDP250100Y peaE 74"
"oatE 220   plots 5","106","IL23-3468","NDP250182G peaE 156"
"oatE 220   plots 5","162","IL23-3468","NDP250030Y peaE 4"
