bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
618,153,NDP250179Y,4,58.8,1,ND
619,153,NDP250179Y,5,176.4,3,NY
620,154,NDP250180Y,1,71.4,1,AL
621,154,NDP250180Y,4,71.4,1,ND
622,155,NDP250181G,3,189,3,IL
623,155,NDP250181G,4,63,1,ND
624,156,NDP250182G,5,112.8,2,NY
625,157,NDP250183G,2,121.2,2,IA
626,157,NDP250183G,3,60.6,1,IL
627,157,NDP250183G,4,121.2,2,ND
628,157,NDP250183G,5,60.6,1,NY
629,158,NDP250184G,1,117.6,2,AL
630,158,NDP250184G,2,176.4,3,IA
631,158,NDP250184G,4,117.6,2,ND
632,158,NDP250184G,5,58.8,1,NY
633,159,NDP250185G,1,128.4,2,AL
634,159,NDP250185G,3,64.2,1,IL
635,159,NDP250185G,4,128.4,2,ND
636,159,NDP250185G,5,64.2,1,NY
637,160,NDP250186G,1,121.8,2,AL
638,160,NDP250186G,2,121.8,2,IA
639,160,NDP250186G,3,60.9,1,IL
640,160,NDP250186G,4,121.8,2,ND
641,161,NDP250187G,1,117.6,2,AL
642,161,NDP250187G,2,176.4,3,IA
643,161,NDP250187G,3,235.2,4,IL
644,161,NDP250187G,4,117.6,2,ND
645,161,NDP250187G,5,117.6,2,NY
646,162,NDP250188G,2,110.4,2,IA
647,162,NDP250188G,4,165.6,3,ND
648,162,NDP250188G,5,110.4,2,NY
649,163,NDP250189G,2,142.7,2,IA
650,163,NDP250189G,3,71.4,1,IL
651,163,NDP250189G,5,214.1,3,NY
652,164,ND DAWN,1,67.6,1,AL
653,164,ND DAWN,2,405.5,6,IA
654,164,ND DAWN,3,67.6,1,IL
655,164,ND DAWN,4,67.6,1,ND
656,164,ND DAWN,5,67.6,1,NY
657,165,ND VICTORY,1,148.5,3,AL
658,165,ND VICTORY,2,198,4,IA
659,165,ND VICTORY,3,247.5,5,IL
660,165,ND VICTORY,4,148.5,3,ND
661,165,ND VICTORY,5,99,2,NY
662,166,NDP120083Y,2,442.8,6,IA
663,166,NDP120083Y,3,369,5,IL
664,166,NDP120083Y,5,221.4,3,NY
665,167,NDP120181Y,1,234,3,AL
666,167,NDP120181Y,3,78,1,IL
667,167,NDP120181Y,4,234,3,ND
668,167,NDP120181Y,5,156,2,NY
669,168,NDP121711R,1,225,3,AL
670,168,NDP121711R,2,75,1,IA
671,168,NDP121711R,4,300,4,ND
672,168,NDP121711R,5,150,2,NY
673,169,NDP121714R,1,142.2,2,AL
674,169,NDP121714R,2,284.3,4,IA
675,169,NDP121714R,3,142.2,2,IL
676,169,NDP121714R,4,213.3,3,ND
677,169,NDP121714R,5,142.2,2,NY
678,170,NDP140295G,1,354,5,AL
679,170,NDP140295G,2,70.8,1,IA
680,170,NDP140295G,3,141.6,2,IL
681,170,NDP140295G,4,70.8,1,ND
682,171,NDP140510Y,1,112.2,2,AL
683,171,NDP140510Y,2,56.1,1,IA
684,171,NDP140510Y,3,112.2,2,IL
685,171,NDP140510Y,4,56.1,1,ND
686,172,NDP150070G,1,196.2,3,AL
687,172,NDP150070G,2,65.4,1,IA
688,172,NDP150070G,3,65.4,1,IL
689,173,NDP150084Y,2,106.2,1,IA
690,173,NDP150084Y,3,212.4,2,IL
691,173,NDP150084Y,4,106.2,1,ND
692,173,NDP150084Y,5,212.4,2,NY
693,174,NDP150106G,2,244.8,4,IA
694,174,NDP150106G,3,122.4,2,IL
695,174,NDP150106G,4,244.8,4,ND
696,174,NDP150106G,5,61.2,1,NY
697,175,NDP150119G,1,272.4,4,AL
698,175,NDP150119G,2,68.1,1,IA
699,175,NDP150119G,4,136.2,2,ND
700,175,NDP150119G,5,68.1,1,NY
701,176,NDP150179Y,2,115.8,2,IA
702,176,NDP150179Y,3,289.5,5,IL
703,176,NDP150179Y,4,57.9,1,ND
704,176,NDP150179Y,5,115.8,2,NY
705,177,NDP150210Y,1,75,1,AL
706,177,NDP150210Y,2,75,1,IA
707,177,NDP150210Y,3,75,1,IL
708,177,NDP150210Y,4,225,3,ND
709,177,NDP150210Y,5,150,2,NY
710,178,NDP150218Y,1,204.3,3,AL
711,178,NDP150218Y,2,68.1,1,IA
712,178,NDP150218Y,5,68.1,1,NY
713,179,NDP150221G,2,78.3,1,IA
714,179,NDP150221G,3,156.6,2,IL
715,179,NDP150221G,4,234.9,3,ND
716,179,NDP150221G,5,391.5,5,NY
717,180,NDP150223G,1,150,2,AL
718,180,NDP150223G,2,150,2,IA
719,180,NDP150223G,3,75,1,IL
720,180,NDP150223G,4,75,1,ND
721,180,NDP150223G,5,225,3,NY
722,181,NDP150228Y,1,170.4,2,AL
723,181,NDP150228Y,2,85.2,1,IA
724,181,NDP150228Y,4,426,5,ND
725,181,NDP150228Y,5,85.2,1,NY
726,182,NDP150231Y,1,62,1,AL
727,182,NDP150231Y,2,123.9,2,IA
728,182,NDP150231Y,3,123.9,2,IL
729,182,NDP150231Y,4,123.9,2,ND
730,182,NDP150231Y,5,123.9,2,NY
731,183,NDP150232Y,1,280.8,3,AL
732,183,NDP150232Y,2,187.2,2,IA
733,183,NDP150232Y,3,374.4,4,IL
734,183,NDP150232Y,4,280.8,3,ND
735,183,NDP150232Y,5,187.2,2,NY
736,184,NDP150338Y,1,145.8,2,AL
737,184,NDP150338Y,2,218.7,3,IA
738,184,NDP150338Y,3,218.7,3,IL
739,184,NDP150338Y,4,72.9,1,ND
740,185,NDP150412G,1,225.6,4,AL
741,185,NDP150412G,2,169.2,3,IA
742,185,NDP150412G,4,56.4,1,ND
743,185,NDP150412G,5,56.4,1,NY
744,186,NDP150476G,2,223.6,3,IA
745,186,NDP150476G,3,149.1,2,IL
746,186,NDP150476G,4,372.6,5,ND
747,186,NDP150476G,5,298.1,4,NY
748,187,NDP160034Y,1,211.5,3,AL
749,187,NDP160034Y,4,70.5,1,ND
750,187,NDP160034Y,5,211.5,3,NY
751,188,NDP160129G,1,211.5,3,AL
752,188,NDP160129G,2,70.5,1,IA
753,188,NDP160129G,4,70.5,1,ND
754,188,NDP160129G,5,70.5,1,NY
755,189,NDP160153Y,1,68.4,1,AL
756,189,NDP160153Y,2,136.8,2,IA
757,189,NDP160153Y,3,273.6,4,IL
758,189,NDP160153Y,4,68.4,1,ND
759,189,NDP160153Y,5,136.8,2,NY
760,190,NDP160188Y,1,141,2,AL
761,190,NDP160188Y,2,211.5,3,IA
762,190,NDP160188Y,3,70.5,1,IL
763,190,NDP160188Y,4,70.5,1,ND
764,190,NDP160188Y,5,141,2,NY
765,191,NDP170001G,1,105.6,2,AL
766,191,NDP170001G,2,105.6,2,IA
767,191,NDP170001G,3,211.2,4,IL
768,191,NDP170001G,4,52.8,1,ND
769,191,NDP170001G,5,105.6,2,NY
770,192,NDP170004G,2,54.6,1,IA
771,192,NDP170004G,3,109.2,2,IL
772,192,NDP170004G,4,109.2,2,ND
773,192,NDP170004G,5,54.6,1,NY
774,193,NDP170006G,1,178.2,3,AL
775,193,NDP170006G,2,118.8,2,IA
776,193,NDP170006G,5,118.8,2,NY
777,194,NDP170008G,1,129.8,2,AL
778,194,NDP170008G,2,64.9,1,IA
779,194,NDP170008G,3,129.8,2,IL
780,194,NDP170008G,4,194.7,3,ND
781,194,NDP170008G,5,194.7,3,NY
782,195,NDP170011G,1,180,3,AL
783,195,NDP170011G,2,300,5,IA
784,195,NDP170011G,3,60,1,IL
785,195,NDP170011G,4,60,1,ND
786,195,NDP170011G,5,120,2,NY
787,196,NDP170012G,1,203.5,3,AL
788,196,NDP170012G,2,135.7,2,IA
789,196,NDP170012G,4,67.8,1,ND
790,196,NDP170012G,5,67.8,1,NY
791,197,NDP170017G,2,171.5,3,IA
792,197,NDP170017G,3,57.2,1,IL
793,197,NDP170017G,4,171.5,3,ND
794,198,NDP170022G,1,408.6,6,AL
795,198,NDP170022G,2,136.2,2,IA
796,198,NDP170022G,4,136.2,2,ND
797,199,NDP170027G,1,63,1,AL
798,199,NDP170027G,2,63,1,IA
799,199,NDP170027G,3,189,3,IL
800,199,NDP170027G,4,189,3,ND
801,199,NDP170027G,5,63,1,NY
802,200,NDP170028G,1,56.1,1,AL
803,200,NDP170028G,2,168.3,3,IA
804,200,NDP170028G,3,56.1,1,IL
805,200,NDP170028G,4,168.3,3,ND
806,200,NDP170028G,5,168.3,3,NY
807,201,NDP170031G,1,162.9,3,AL
808,201,NDP170031G,2,162.9,3,IA
809,201,NDP170031G,4,108.6,2,ND
810,201,NDP170031G,5,108.6,2,NY
811,202,NDP170037G,1,61.2,1,AL
812,202,NDP170037G,4,244.8,4,ND
813,202,NDP170037G,5,183.6,3,NY
814,203,NDP170039G,1,196.3,3,AL
815,203,NDP170039G,2,130.8,2,IA
816,203,NDP170039G,3,130.8,2,IL
817,203,NDP170039G,4,130.8,2,ND
818,203,NDP170039G,5,196.3,3,NY
819,204,NDP170043G,1,202.8,4,AL
820,204,NDP170043G,2,152.1,3,IA
821,204,NDP170043G,4,101.4,2,ND
822,204,NDP170043G,5,152.1,3,NY
823,205,NDP170052G,1,133.2,2,AL
824,205,NDP170052G,2,66.6,1,IA
825,205,NDP170052G,3,133.2,2,IL
826,205,NDP170052G,5,133.2,2,NY
827,206,NDP170054Y,1,216.2,3,AL
828,206,NDP170054Y,2,144.1,2,IA
829,206,NDP170054Y,3,216.2,3,IL
830,206,NDP170054Y,4,288.3,4,ND
831,206,NDP170054Y,5,144.1,2,NY
832,207,NDP170056G,1,306.3,5,AL
833,207,NDP170056G,2,61.3,1,IA
834,207,NDP170056G,3,183.8,3,IL
835,207,NDP170056G,4,245.1,4,ND
836,207,NDP170056G,5,122.5,2,NY
837,208,NDP170057G,1,51.2,1,AL
838,208,NDP170057G,2,204.6,4,IA
839,208,NDP170057G,3,306.9,6,IL
840,208,NDP170057G,4,51.2,1,ND
841,208,NDP170057G,5,102.3,2,NY
842,209,NDP170084G,1,229.6,4,AL
843,209,NDP170084G,2,172.2,3,IA
844,209,NDP170084G,3,57.4,1,IL
845,209,NDP170084G,5,114.8,2,NY
846,210,NDP170089G,1,57.8,1,AL
847,210,NDP170089G,3,115.6,2,IL
848,210,NDP170089G,4,115.6,2,ND
849,210,NDP170089G,5,288.9,5,NY
850,211,NDP170094Y,1,60,1,AL
851,211,NDP170094Y,2,180,3,IA
852,211,NDP170094Y,3,60,1,IL
853,211,NDP170094Y,4,120,2,ND
854,211,NDP170094Y,5,240,4,NY
855,212,NDP170099G,1,54.9,1,AL
856,212,NDP170099G,2,164.7,3,IA
857,212,NDP170099G,3,54.9,1,IL
858,212,NDP170099G,4,164.7,3,ND
859,213,NDP170101G,1,132,2,AL
860,213,NDP170101G,2,264,4,IA
861,213,NDP170101G,3,264,4,IL
862,213,NDP170101G,4,264,4,ND
863,213,NDP170101G,5,198,3,NY
864,214,NDP170104Y,1,139.6,2,AL
865,214,NDP170104Y,3,139.6,2,IL
866,214,NDP170104Y,4,69.8,1,ND
867,214,NDP170104Y,5,279.1,4,NY
868,215,NDP170110Y,1,73,1,AL
869,215,NDP170110Y,2,146,2,IA
870,215,NDP170110Y,3,73,1,IL
871,215,NDP170110Y,4,292,4,ND
872,215,NDP170110Y,5,146,2,NY
873,216,NDP170111G,1,61.2,1,AL
874,216,NDP170111G,2,244.8,4,IA
875,216,NDP170111G,3,122.4,2,IL
876,216,NDP170111G,4,61.2,1,ND
877,216,NDP170111G,5,122.4,2,NY
878,217,NDP170133G,2,295.5,5,IA
879,217,NDP170133G,3,295.5,5,IL
880,217,NDP170133G,4,59.1,1,ND
881,218,NDP170151Y,1,74.4,1,AL
882,218,NDP170151Y,2,74.4,1,IA
883,218,NDP170151Y,4,297.6,4,ND
884,218,NDP170151Y,5,297.6,4,NY
885,219,NDP170153Y,1,62.7,1,AL
886,219,NDP170153Y,2,188.1,3,IA
887,219,NDP170153Y,3,188.1,3,IL
888,219,NDP170153Y,4,188.1,3,ND
889,219,NDP170153Y,5,125.4,2,NY
890,220,NDP170156Y,1,65.9,1,AL
891,220,NDP170156Y,2,263.5,4,IA
892,220,NDP170156Y,3,65.9,1,IL
893,220,NDP170156Y,4,197.6,3,ND
894,220,NDP170156Y,5,263.5,4,NY
895,221,NDP170161Y,1,130.4,2,AL
896,221,NDP170161Y,2,130.4,2,IA
897,221,NDP170161Y,3,65.2,1,IL
898,221,NDP170161Y,4,130.4,2,ND
899,221,NDP170161Y,5,195.7,3,NY
900,222,NDP170177Y,1,50.1,1,AL
901,222,NDP170177Y,2,150.3,3,IA
902,222,NDP170177Y,3,50.1,1,IL
903,222,NDP170177Y,4,300.6,6,ND
904,222,NDP170177Y,5,50.1,1,NY
905,223,NDP170181Y,1,60.3,1,AL
906,223,NDP170181Y,2,60.3,1,IA
907,223,NDP170181Y,3,120.6,2,IL
908,223,NDP170181Y,4,361.8,6,ND
909,223,NDP170181Y,5,60.3,1,NY
910,224,NDP170182Y,1,114.6,2,AL
911,224,NDP170182Y,2,171.9,3,IA
912,224,NDP170182Y,3,114.6,2,IL
913,224,NDP170182Y,4,114.6,2,ND
914,224,NDP170182Y,5,286.5,5,NY
915,225,NDP170183Y,1,300,5,AL
916,225,NDP170183Y,2,60,1,IA
917,225,NDP170183Y,3,60,1,IL
918,225,NDP170183Y,4,60,1,ND
919,225,NDP170183Y,5,300,5,NY
920,226,NDP170185Y,1,124.2,2,AL
921,226,NDP170185Y,2,124.2,2,IA
922,226,NDP170185Y,3,248.4,4,IL
923,226,NDP170185Y,4,62.1,1,ND
924,226,NDP170185Y,5,124.2,2,NY
925,227,NDP170190Y,1,150.4,2,AL
926,227,NDP170190Y,2,150.4,2,IA
927,227,NDP170190Y,3,225.5,3,IL
928,227,NDP170190Y,4,150.4,2,ND
929,227,NDP170190Y,5,150.4,2,NY
930,228,NDP170200Y,2,52.8,1,IA
931,228,NDP170200Y,3,158.4,3,IL
932,228,NDP170200Y,4,52.8,1,ND
933,228,NDP170200Y,5,52.8,1,NY
934,229,NDP170202Y,1,65.4,1,AL
935,229,NDP170202Y,2,130.8,2,IA
936,229,NDP170202Y,4,196.3,3,ND
937,229,NDP170202Y,5,196.3,3,NY
938,230,NDP170245Y,1,231.6,4,AL
939,230,NDP170245Y,3,115.8,2,IL
940,230,NDP170245Y,4,57.9,1,ND
941,231,NDP170247Y,1,183.8,3,AL
942,231,NDP170247Y,2,61.3,1,IA
943,231,NDP170247Y,3,245.1,4,IL
944,231,NDP170247Y,4,61.3,1,ND
945,231,NDP170247Y,5,61.3,1,NY
946,232,NDP170249Y,3,57.6,1,IL
947,232,NDP170249Y,4,172.8,3,ND
948,232,NDP170249Y,5,57.6,1,NY
949,233,NDP170252Y,1,92.4,2,AL
950,233,NDP170252Y,2,92.4,2,IA
951,233,NDP170252Y,3,92.4,2,IL
952,233,NDP170252Y,5,46.2,1,NY
953,234,NDP170253Y,1,116.4,2,AL
954,234,NDP170253Y,2,58.2,1,IA
955,234,NDP170253Y,3,116.4,2,IL
956,234,NDP170253Y,4,116.4,2,ND
957,234,NDP170253Y,5,116.4,2,NY
958,235,NDP170273Y,1,294.9,4,AL
959,235,NDP170273Y,2,147.5,2,IA
960,235,NDP170273Y,3,147.5,2,IL
961,235,NDP170273Y,4,147.5,2,ND
962,235,NDP170273Y,5,294.9,4,NY
963,236,NDP170322Y,1,59.4,1,AL
964,236,NDP170322Y,2,237.6,4,IA
965,236,NDP170322Y,3,118.8,2,IL
966,236,NDP170322Y,4,59.4,1,ND
967,236,NDP170322Y,5,59.4,1,NY
968,237,NDP170328G,1,322.5,5,AL
969,237,NDP170328G,2,193.5,3,IA
970,237,NDP170328G,3,64.5,1,IL
971,237,NDP170328G,4,64.5,1,ND
972,237,NDP170328G,5,193.5,3,NY
973,238,NDP170336G,1,212.4,4,AL
974,238,NDP170336G,2,212.4,4,IA
975,238,NDP170336G,3,106.2,2,IL
976,238,NDP170336G,4,159.3,3,ND
977,238,NDP170336G,5,106.2,2,NY
978,239,NDP170350Y,1,60.3,1,AL
979,239,NDP170350Y,2,180.9,3,IA
980,239,NDP170350Y,3,120.6,2,IL
981,239,NDP170350Y,4,120.6,2,ND
982,239,NDP170350Y,5,120.6,2,NY
