bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
142,34,NDP250060Y,3,67.1,1,IL
143,34,NDP250060Y,5,67.1,1,NY
144,35,NDP250061Y,1,61.8,1,AL
145,35,NDP250061Y,3,123.6,2,IL
146,35,NDP250061Y,4,61.8,1,ND
147,35,NDP250061Y,5,61.8,1,NY
148,36,NDP250062Y,1,142.8,2,AL
149,36,NDP250062Y,2,142.8,2,IA
150,36,NDP250062Y,3,71.4,1,IL
151,36,NDP250062Y,5,71.4,1,NY
152,37,NDP250063Y,1,71.7,1,AL
153,37,NDP250063Y,3,215.2,3,IL
154,37,NDP250063Y,4,143.5,2,ND
155,37,NDP250063Y,5,71.7,1,NY
156,38,NDP250064Y,1,138,2,AL
157,38,NDP250064Y,2,138,2,IA
158,38,NDP250064Y,4,138,2,ND
159,38,NDP250064Y,5,138,2,NY
160,39,NDP250065Y,1,74.4,1,AL
161,39,NDP250065Y,2,74.4,1,IA
162,39,NDP250065Y,4,74.4,1,ND
163,39,NDP250065Y,5,74.4,1,NY
164,40,NDP250066Y,2,66.9,1,IA
165,40,NDP250066Y,3,66.9,1,IL
166,40,NDP250066Y,4,200.7,3,ND
167,41,NDP250067Y,1,66.3,1,AL
168,41,NDP250067Y,2,66.3,1,IA
169,41,NDP250067Y,3,198.9,3,IL
170,41,NDP250067Y,4,132.6,2,ND
171,42,NDP250068Y,2,127.2,2,IA
172,42,NDP250068Y,3,63.6,1,IL
173,42,NDP250068Y,4,63.6,1,ND
174,43,NDP250069Y,1,124.8,2,AL
175,43,NDP250069Y,2,124.8,2,IA
176,43,NDP250069Y,3,249.6,4,IL
177,43,NDP250069Y,4,187.2,3,ND
178,43,NDP250069Y,5,249.6,4,NY
179,44,NDP250070Y,1,192.6,3,AL
180,44,NDP250070Y,2,128.4,2,IA
181,44,NDP250070Y,3,128.4,2,IL
182,44,NDP250070Y,4,64.2,1,ND
183,45,NDP250071Y,2,59.1,1,IA
184,45,NDP250071Y,3,118.2,2,IL
185,45,NDP250071Y,5,177.3,3,NY
186,46,NDP250072Y,1,122.4,2,AL
187,46,NDP250072Y,2,122.4,2,IA
188,46,NDP250072Y,3,183.6,3,IL
189,46,NDP250072Y,5,61.2,1,NY
190,47,NDP250073Y,1,166.5,3,AL
191,47,NDP250073Y,2,166.5,3,IA
192,47,NDP250073Y,3,277.5,5,IL
193,47,NDP250073Y,4,111,2,ND
194,47,NDP250073Y,5,55.5,1,NY
195,48,NDP250074Y,1,56.2,1,AL
196,48,NDP250074Y,2,168.6,3,IA
197,48,NDP250074Y,3,281.1,5,IL
198,48,NDP250074Y,4,56.2,1,ND
199,48,NDP250074Y,5,56.2,1,NY
200,49,NDP250075Y,3,63,1,IL
201,49,NDP250075Y,4,63,1,ND
202,49,NDP250075Y,5,189,3,NY
203,50,NDP250076Y,1,174.6,3,AL
204,50,NDP250076Y,2,58.2,1,IA
205,50,NDP250076Y,3,291,5,IL
206,50,NDP250076Y,4,232.8,4,ND
207,50,NDP250076Y,5,58.2,1,NY
208,51,NDP250077Y,1,56.1,1,AL
209,51,NDP250077Y,3,56.1,1,IL
210,51,NDP250077Y,4,56.1,1,ND
211,51,NDP250077Y,5,280.5,5,NY
212,52,NDP250078Y,2,57,1,IA
213,52,NDP250078Y,3,114,2,IL
214,52,NDP250078Y,4,114,2,ND
215,52,NDP250078Y,5,114,2,NY
216,53,NDP250079Y,1,246,4,AL
217,53,NDP250079Y,2,61.5,1,IA
218,53,NDP250079Y,3,307.5,5,IL
219,53,NDP250079Y,4,61.5,1,ND
220,53,NDP250079Y,5,123,2,NY
221,54,NDP250080Y,1,110.4,2,AL
222,54,NDP250080Y,2,110.4,2,IA
223,54,NDP250080Y,3,165.6,3,IL
224,54,NDP250080Y,4,220.8,4,ND
225,54,NDP250080Y,5,55.2,1,NY
226,55,NDP250081Y,1,249.6,4,AL
227,55,NDP250081Y,2,187.2,3,IA
