"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Crown rust severity (flag leaf) - percent|CO_350:0005029","Crown rust severity (flag leaf) - percent|day 153|COMP:0000162","Crown rust severity (flag leaf) - percent|day 161|COMP:0000163","Grain moisture content - percent|CO_350:0000536","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Lodging incidence - percent|CO_350:0000165","Lodging severity - 0-9 Rating|CO_350:0005007","Maturity date - Julian day|CO_350:0000271","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Grain Moisture Content - %|CO_xxx:0003018","Pea Grain Weight - g|CO_xxx:0003006","Pea Grain Yield - g/m2|CO_xxx:0003008","Pea Maturity Date - Julian Day|CO_xxx:0003015","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|CO_xxx:0003005","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Pea Test Weight - g/L|CO_xxx:0003016","Pea Thousand Grain Weight - g|CO_xxx:0003017","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|CO_350:0000232","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Test weight - g/L|CO_350:0000259","Thousand grain weight - g|CO_350:0000251","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735559","B4I_2025_AL_1003_subplot_2","1","1","1003","1","3","test","","","","","","","","","","","","","","","","","","","","3","","19","45","","","","","9","","24","73","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735560","B4I_2025_AL_1003_subplot_3","1","1","1003","1","3","test","","","","","","","","","","","","","","","","","","","","6","","21","46","","","","","17","","21","74","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","plot","733638","B4I_2025_AL_1004","1","1","1004","1","4","test","","733312","NDP250127Y","","","","","","15.1","2.889952153","119","","0","","115","","33.7","6.449760766","","5","19","19","36","","","","171.9387755","7","24","24","68","","","","16.98537683",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736431","B4I_2025_AL_1004_subplot_1","1","1","1004","1","4","test","","","","","","","","","","","","","","","","","","","","3","","22","36","","","","","12","","24","71","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736432","B4I_2025_AL_1004_subplot_2","1","1","1004","1","4","test","","","","","","","","","","","","","","","","","","","","5","","22","35","","","","","11","","24","64","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704619","IL23-1650","IL23-1650","subplot","736433","B4I_2025_AL_1004_subplot_3","1","1","1004","1","4","test","","","","","","","","","","","","","","","","","","","","5","","19","36","","","","","7","","24","68","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","plot","733732","B4I_2025_AL_1005","1","1","1005","1","5","test","","733507","NDP250049Y","","","","","","6.4","1.224880383","125","","0","","119","","5.35","1.023923445","","3","17","17","41","","","","144.5945946","11","31","31","77","","","","19.69230769",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735936","B4I_2025_AL_1005_subplot_1","1","1","1005","1","5","test","","","","","","","","","","","","","","","","","","","","3","","22","41","","","","","7","","29","72","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735937","B4I_2025_AL_1005_subplot_2","1","1","1005","1","5","test","","","","","","","","","","","","","","","","","","","","5","","18","46","","","","","9","","28","82","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704449","IL23-723","IL23-723","subplot","735938","B4I_2025_AL_1005_subplot_3","1","1","1005","1","5","test","","","","","","","","","","","","","","","","","","","","3","","17","41","","","","","11","","31","77","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","plot","733736","B4I_2025_AL_1006","1","1","1006","1","6","test","","733400","NDP160188Y","","","","","","18.1","3.464114833","125","","4","","119","","10.4","1.990430622","","5","21","21","45","","","","152.9411765","12","26","26","76","","","","22.65331665",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736629","B4I_2025_AL_1006_subplot_1","1","1","1006","1","6","test","","","","","","","","","","","","","","","","","","","","8","","20","42","","","","","10","","26","74","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736630","B4I_2025_AL_1006_subplot_2","1","1","1006","1","6","test","","","","","","","","","","","","","","","","","","","","4","","23","40","","","","","8","","24","66","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704703","IL23-1209","IL23-1209","subplot","736631","B4I_2025_AL_1006_subplot_3","1","1","1006","1","6","test","","","","","","","","","","","","","","","","","","","","5","","21","45","","","","","12","","26","76","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","plot","733581","B4I_2025_AL_1007","1","1","1007","1","7","test","","733459","NDP170052G","","","","","","18.6","3.559808612","128","","4","","119","","5","0.956937799","","3","20","20","56","","","","147.0588235","11","26","26","79","","","","22.49093108",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735801","B4I_2025_AL_1007_subplot_1","1","1","1007","1","7","test","","","","","","","","","","","","","","","","","","","","4","","20","45","","","","","10","","27","62","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735802","B4I_2025_AL_1007_subplot_2","1","1","1007","1","7","test","","","","","","","","","","","","","","","","","","","","2","","18","46","","","","","10","","24","65","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704732","IL23-1206","IL23-1206","subplot","735803","B4I_2025_AL_1007_subplot_3","1","1","1007","1","7","test","","","","","","","","","","","","","","","","","","","","3","","20","56","","","","","11","","26","79","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","plot","733889","B4I_2025_AL_1008","1","1","1008","1","8","test","","733504","NDP250164Y","","","","","","10.15","1.942583732","119","","2","","115","","7.8","1.492822967","","4","18","18","39","","","","159.1836735","5","25","25","70","","","","21.1018711",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736401","B4I_2025_AL_1008_subplot_1","1","1","1008","1","8","test","","","","","","","","","","","","","","","","","","","","5","","14","42","","","","","12","","22","71","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736402","B4I_2025_AL_1008_subplot_2","1","1","1008","1","8","test","","","","","","","","","","","","","","","","","","","","6","","19","44","","","","","7","","24","72","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530955","IL21-8143","","subplot","736403","B4I_2025_AL_1008_subplot_3","1","1","1008","1","8","test","","","","","","","","","","","","","","","","","","","","4","","18","39","","","","","5","","25","70","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","plot","733661","B4I_2025_AL_1009","1","1","1009","1","9","test","","733401","NDP250040Y","","","","","","1.95","0.373205742","122","","4","","115","","0.4","0.076555024","","7","17","17","47","","","","100","13","28","28","84","","","","22.15909091",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735567","B4I_2025_AL_1009_subplot_1","1","1","1009","1","9","test","","","","","","","","","","","","","","","","","","","","4","","18","43","","","","","8","","26","76","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735568","B4I_2025_AL_1009_subplot_2","1","1","1009","1","9","test","","","","","","","","","","","","","","","","","","","","7","","14","37","","","","","13","","21","82","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704685","IL23-3655","IL23-3655","subplot","735569","B4I_2025_AL_1009_subplot_3","1","1","1009","1","9","test","","","","","","","","","","","","","","","","","","","","7","","17","47","","","","","13","","28","84","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","plot","733853","B4I_2025_AL_1010","1","1","1010","1","10","test","","733474","NDP250093Y","","","","","","121.9","23.33014354","122","","6","","115","","41.35","7.913875598","","3","14","14","51","","","","152.5830258","9","25","25","78","","","","22.75",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736335","B4I_2025_AL_1010_subplot_1","1","1","1010","1","10","test","","","","","","","","","","","","","","","","","","","","3","","22","52","","","","","10","","24","81","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736336","B4I_2025_AL_1010_subplot_2","1","1","1010","1","10","test","","","","","","","","","","","","","","","","","","","","6","","19","50","","","","","8","","25","78","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704842","IL23-1669","IL23-1669","subplot","736337","B4I_2025_AL_1010_subplot_3","1","1","1010","1","10","test","","","","","","","","","","","","","","","","","","","","3","","14","51","","","","","9","","25","78","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","plot","733518","B4I_2025_AL_1011","1","1","1011","1","11","test","","733399","NDP250095Y","","","","","","27.6","5.282296651","122","","8","","115","","32.45","6.210526316","","5","18","18","30","","","","163.0653266","10","22","22","73","","","","23.35",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735819","B4I_2025_AL_1011_subplot_1","1","1","1011","1","11","test","","","","","","","","","","","","","","","","","","","","5","","20","46","","","","","10","","26","82","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735820","B4I_2025_AL_1011_subplot_2","1","1","1011","1","11","test","","","","","","","","","","","","","","","","","","","","8","","21","42","","","","","17","","24","65","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704924","IL23-3576","IL23-3576","subplot","735821","B4I_2025_AL_1011_subplot_3","1","1","1011","1","11","test","","","","","","","","","","","","","","","","","","","","5","","18","30","","","","","10","","22","73","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","plot","733729","B4I_2025_AL_1012","1","1","1012","1","12","test","","733325","NDP250163Y","","","","","","19.3","3.693779904","115","","5","","115","","24.4","4.669856459","","8","22","22","62","","","","161.589404","9","27","27","81","","","","22.41579559",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736110","B4I_2025_AL_1012_subplot_1","1","1","1012","1","12","test","","","","","","","","","","","","","","","","","","","","3","","17","54","","","","","10","","23","76","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736111","B4I_2025_AL_1012_subplot_2","1","1","1012","1","12","test","","","","","","","","","","","","","","","","","","","","4","","19","42","","","","","11","","25","65","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","530981","IL21-7653","","subplot","736112","B4I_2025_AL_1012_subplot_3","1","1","1012","1","12","test","","","","","","","","","","","","","","","","","","","","8","","22","62","","","","","9","","27","81","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","plot","733633","B4I_2025_AL_1013","1","1","1013","1","13","test","","733454","NDP150412G","","","","","","5.9","1.129186603","119","","8","","115","","8.95","1.71291866","","8","15","15","44","","","","162.7272727","16","23","23","77","","","","21.29963899",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736461","B4I_2025_AL_1013_subplot_1","1","1","1013","1","13","test","","","","","","","","","","","","","","","","","","","","6","","14","50","","","","","6","","24","79","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736462","B4I_2025_AL_1013_subplot_2","1","1","1013","1","13","test","","","","","","","","","","","","","","","","","","","","3","","14","41","","","","","10","","26","80","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704917","IL23-1450","IL23-1450","subplot","736463","B4I_2025_AL_1013_subplot_3","1","1","1013","1","13","test","","","","","","","","","","","","","","","","","","","","8","","15","44","","","","","16","","23","77","","","","",""
