sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
78,NDP250106G,IL21-5955,NDP250106G+IL21-5955,within_loc,Rep 2,1,78,2,3,78,1078,TRUE,
79,NDP170056G,IL23-4554,NDP170056G+IL23-4554,unique_combos,Rep 0,1,79,2,2,79,1079,TRUE,
80,NDP170027G,IL23-2246,NDP170027G+IL23-2246,unique_combos,Rep 0,1,80,2,1,80,1080,TRUE,
81,NDP170153Y,IL19-4877,NDP170153Y+IL19-4877,across_loc,Rep 0,1,81,3,1,81,1081,TRUE,
82,NDP170043G,IL23-810,NDP170043G+IL23-810,within_loc,Rep 2,1,82,3,2,82,1082,TRUE,
83,NDP250045Y,IL23-4039,NDP250045Y+IL23-4039,unique_combos,Rep 0,1,83,3,3,83,1083,TRUE,
84,NDP150228Y,IL23-4259,NDP150228Y+IL23-4259,unique_combos,Rep 0,1,84,3,4,84,1084,TRUE,
85,NDP170006G,IL23-1632,NDP170006G+IL23-1632,unique_combos,Rep 0,1,85,3,5,85,1085,TRUE,
86,NDP170104Y,IL22-1423,NDP170104Y+IL22-1423,unique_combos,Rep 0,1,86,3,6,86,1086,TRUE,
87,NDP250069Y,IL23-268,NDP250069Y+IL23-268,unique_combos,Rep 0,1,87,3,7,87,1087,TRUE,
88,NDP121711R,IL23-739,NDP121711R+IL23-739,unique_combos,Rep 0,1,88,3,8,88,1088,TRUE,
89,NDP250112G,IL23-2021,NDP250112G+IL23-2021,unique_combos,Rep 0,1,89,3,9,89,1089,TRUE,
90,NDP250094Y,IL23-971,NDP250094Y+IL23-971,across_loc,Rep 0,1,90,3,10,90,1090,TRUE,
91,NDP250062Y,IL23-951,NDP250062Y+IL23-951,unique_combos,Rep 0,1,91,3,11,91,1091,TRUE,
92,NDP250168Y,IL21-4043,NDP250168Y+IL21-4043,unique_combos,Rep 0,1,92,3,12,92,1092,TRUE,
93,NDP170182Y,IL23-1431,NDP170182Y+IL23-1431,unique_combos,Rep 0,1,93,3,13,93,1093,TRUE,
94,NDP250089Y,IL23-543,NDP250089Y+IL23-543,unique_combos,Rep 0,1,94,3,14,94,1094,TRUE,
95,NDP170190Y,IL23-3661,NDP170190Y+IL23-3661,unique_combos,Rep 0,1,95,3,15,95,1095,TRUE,
96,NDP170022G,IL23-1623,NDP170022G+IL23-1623,unique_combos,Rep 0,1,96,3,16,96,1096,TRUE,
97,NDP250100Y,IL23-3443,NDP250100Y+IL23-3443,across_loc,Rep 0,1,97,3,17,97,1097,TRUE,
98,NDP170039G,IL23-923,NDP170039G+IL23-923,across_loc,Rep 0,1,98,3,18,98,1098,TRUE,
99,NDP250053G,IL23-1619,NDP250053G+IL23-1619,unique_combos,Rep 0,1,99,3,19,99,1099,TRUE,
100,NDP250083Y,IL22-1939,NDP250083Y+IL22-1939,unique_combos,Rep 0,1,100,3,20,100,1100,TRUE,
101,NDP160188Y,IL23-4835,NDP160188Y+IL23-4835,across_loc,Rep 0,1,101,3,21,101,1101,TRUE,
102,NDP170011G,IL23-1655,NDP170011G+IL23-1655,across_loc,Rep 0,1,102,3,22,102,1102,TRUE,
103,NDP170183Y,IL23-453,NDP170183Y+IL23-453,unique_combos,Rep 0,1,103,3,23,103,1103,TRUE,
104,NDP250043Y,IL23-551,NDP250043Y+IL23-551,unique_combos,Rep 0,1,104,3,24,104,1104,TRUE,
105,NDP170252Y,IL23-4252,NDP170252Y+IL23-4252,unique_combos,Rep 0,1,105,3,25,105,1105,TRUE,
106,NDP170043G,IL23-810,NDP170043G+IL23-810,within_loc,Rep 1,1,106,3,26,106,1106,TRUE,
