plot_name	row_number	col_number
B4I_2025_AL_1188	5	28
B4I_2025_AL_1189	5	29
B4I_2025_AL_1190	5	30
B4I_2025_AL_1191	5	31
B4I_2025_AL_1192	5	32
B4I_2025_AL_1193	6	33
B4I_2025_AL_1194	5	34
B4I_2025_AL_1195	5	35
B4I_2025_AL_1196	5	36
B4I_2025_AL_1197	5	37
B4I_2025_AL_1198	5	38
B4I_2025_AL_1199	5	39
B4I_2025_AL_1200	5	40
B4I_2025_AL_1201	6	40
B4I_2025_AL_1202	6	39
B4I_2025_AL_1203	6	38
B4I_2025_AL_1204	6	37
B4I_2025_AL_1205	6	36
B4I_2025_AL_1206	6	35
B4I_2025_AL_1207	6	34
B4I_2025_AL_1208	7	33
B4I_2025_AL_1209	6	32
B4I_2025_AL_1210	6	31
B4I_2025_AL_1211	6	30
B4I_2025_AL_1212	6	29
B4I_2025_AL_1213	6	28
B4I_2025_AL_1214	6	27
B4I_2025_AL_1215	6	26
B4I_2025_AL_1216	6	25
B4I_2025_AL_1217	6	24
B4I_2025_AL_1218	6	23
B4I_2025_AL_1219	6	22
B4I_2025_AL_1220	6	21
B4I_2025_AL_1221	6	20
B4I_2025_AL_1222	6	19
B4I_2025_AL_1223	6	18
B4I_2025_AL_1224	6	17
B4I_2025_AL_1225	6	16
B4I_2025_AL_1226	6	15
B4I_2025_AL_1227	6	14
B4I_2025_AL_1228	6	13
B4I_2025_AL_1229	6	12
B4I_2025_AL_1230	6	11
B4I_2025_AL_1231	6	10
B4I_2025_AL_1232	6	9
B4I_2025_AL_1233	6	8
B4I_2025_AL_1234	6	7
B4I_2025_AL_1235	6	6
B4I_2025_AL_1236	6	5
B4I_2025_AL_1237	6	4
B4I_2025_AL_1238	6	3
B4I_2025_AL_1239	6	2
B4I_2025_AL_1240	5	1
B4I_2025_AL_1241	6	1
B4I_2025_AL_1242	7	2
B4I_2025_AL_1243	7	3
B4I_2025_AL_1244	7	4
B4I_2025_AL_1245	7	5
B4I_2025_AL_1246	7	6
B4I_2025_AL_1247	7	7
B4I_2025_AL_1248	7	8
B4I_2025_AL_1249	7	9
B4I_2025_AL_1250	7	10
B4I_2025_AL_1251	7	11
B4I_2025_AL_1252	7	12
B4I_2025_AL_1253	7	13
B4I_2025_AL_1254	7	14
B4I_2025_AL_1255	7	15
B4I_2025_AL_1256	7	16
B4I_2025_AL_1257	7	17
B4I_2025_AL_1258	7	18
B4I_2025_AL_1259	7	19
B4I_2025_AL_1260	7	20
B4I_2025_AL_1261	10	21
B4I_2025_AL_1262	7	22
B4I_2025_AL_1263	7	23
B4I_2025_AL_1264	7	24
B4I_2025_AL_1265	7	25
B4I_2025_AL_1266	7	26
B4I_2025_AL_1267	7	27
B4I_2025_AL_1268	7	28
B4I_2025_AL_1269	7	29
B4I_2025_AL_1270	7	30
B4I_2025_AL_1271	7	31
B4I_2025_AL_1272	7	32
B4I_2025_AL_1273	8	33
B4I_2025_AL_1274	7	34
B4I_2025_AL_1275	7	35
B4I_2025_AL_1276	7	36
B4I_2025_AL_1277	7	37
B4I_2025_AL_1278	7	38
B4I_2025_AL_1279	7	39
B4I_2025_AL_1280	7	40
B4I_2025_AL_1281	8	40
B4I_2025_AL_1282	8	39
B4I_2025_AL_1283	8	38
B4I_2025_AL_1284	8	37
B4I_2025_AL_1285	8	36
B4I_2025_AL_1286	8	35
B4I_2025_AL_1287	8	34
B4I_2025_AL_1288	9	33
B4I_2025_AL_1289	8	32
B4I_2025_AL_1290	8	31
B4I_2025_AL_1291	8	30
B4I_2025_AL_1292	8	29
B4I_2025_AL_1293	8	28
B4I_2025_AL_1294	8	27
B4I_2025_AL_1295	8	26
B4I_2025_AL_1296	8	25
B4I_2025_AL_1297	8	24
B4I_2025_AL_1298	8	23
B4I_2025_AL_1299	8	22
B4I_2025_AL_1300	7	21
B4I_2025_AL_1301	8	20
B4I_2025_AL_1302	8	19
B4I_2025_AL_1303	8	18
B4I_2025_AL_1304	8	17
B4I_2025_AL_1305	8	16
B4I_2025_AL_1306	8	15
B4I_2025_AL_1307	8	14
B4I_2025_AL_1308	8	13
B4I_2025_AL_1309	8	12
B4I_2025_AL_1310	8	11
B4I_2025_AL_1311	8	10
B4I_2025_AL_1312	8	9
B4I_2025_AL_1313	8	8
B4I_2025_AL_1314	8	7
B4I_2025_AL_1315	8	6
B4I_2025_AL_1316	8	5
B4I_2025_AL_1317	8	4
B4I_2025_AL_1318	8	3
B4I_2025_AL_1319	8	2
B4I_2025_AL_1320	7	1
B4I_2025_AL_1321	8	1
B4I_2025_AL_1322	9	2
B4I_2025_AL_1323	9	3
B4I_2025_AL_1324	9	4
B4I_2025_AL_1325	9	5
B4I_2025_AL_1326	9	6
B4I_2025_AL_1327	9	7
B4I_2025_AL_1328	9	8
B4I_2025_AL_1329	9	9
B4I_2025_AL_1330	9	10
B4I_2025_AL_1331	9	11
B4I_2025_AL_1332	9	12
