"trial_name","breeding_program","location","year","design_type","description","trial_type","plot_width","plot_length","field_size","planting_date","harvest_date","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","range_number","row_number","col_number","seedlot_name","num_seed_per_plot","weight_gram_seed_per_plot","entry_number","is_private","intercrop_accession_name","Plant establishment - plants/ft2|CO_350:0005124","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Above ground dry biomass - g|timepoint 1|COMP:0000110","Above ground dry biomass - g|timepoint 2|COMP:0000111","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Weed above ground dry biomass - g|timepoint 3|COMP:0000128","Heading date - Julian day|CO_350:0000270","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Maturity date - Julian day|CO_350:0000271","Pea Maturity Date - Julian Day|CO_xxx:0003015","Lodging severity - 0-9 Rating|CO_350:0005007","Lodging incidence - percent|CO_350:0000165","Total grain moisture content - percent|CO_350:xxx","Total grain weight - g|CO_350:xxx","Total grain yield - g/m2|CO_350:xxx","Total test weight - g/L|CO_350:xxx","Grain weight - g|CO_350:0005123","Pea Grain Weight - g|CO_xxx:0003006","Grain yield - g/m2|CO_350:0000260","Pea Grain Yield - g/m2|CO_xxx:0003008","Test weight - g/L|CO_350:0000259","Pea Test Weight - g/L|CO_xxx:0003016","Thousand grain weight - g|CO_350:0000251","Pea Thousand Grain Weight - g|CO_xxx:0003017","note"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_111","IL23-2134",111,1,NA,1,1,1,11,NA,NA,24,NA,NA,"NDP250110G",27,8,34,69,73.66,NA,30,53,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,151,173,180,4,10,12.2,2335.9988,466.7107237,393.46,1938.996112,397.999202,379.451294,77.88634091,464.5760743,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_112","IL23-268",112,1,NA,1,1,1,12,NA,NA,24,NA,NA,"NDP250142G",26,8,40,71,76.2,NA,34,52,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,146,173,174,1,5,13.2,2639.90544,521.421272,428.60875,2013.995962,623.9987489,394.1283683,122.1132581,464.5760743,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_113","IL23-4243",113,1,NA,1,1,1,13,NA,NA,24,NA,NA,"NDP250116G",20,5,33,68,76.2,NA,32,52,55.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,146,174,174,1,10,12.2,2286.10368,456.7421451,425.00375,1637.996716,621.9987529,320.5473025,121.7218695,497.1315947,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_114","IL23-4118",114,1,NA,1,1,1,14,NA,NA,24,NA,NA,"NDP250050Y",12,4,33,63,81.28,NA,29,44,45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,151,176,173,0,0,13,2345.07064,464.2541885,386.89375,1931.996126,370.9992562,378.0814337,72.60259416,456.657164,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_115","IL23-1619",115,1,NA,1,1,1,15,NA,NA,24,NA,NA,"NDP170133G",19,4,39,73,86.36,NA,33,52,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,148,172,175,0,0,14.7,2299.71144,446.3782502,420.62625,1809.996371,437.9991218,354.2067262,85.71411386,473.3748636,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_116","IL23-1847",116,2,NA,1,1,1,16,NA,NA,24,NA,NA,"NDP170185Y",18,6,36,60,86.36,NA,39,49,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,151,176,173,4,5,16.7,2136.41832,404.9598281,415.99125,1581.996828,465.9990657,309.5884204,91.19355493,445.2187379,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_117","IL20-746",117,2,NA,1,1,1,17,NA,NA,24,NA,NA,"NDP250105G",14,7,37,66,71.12,NA,29,47,45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,147,172,173,1,2,14.4,2131.8824,415.257665,439.81,1565.99686,527.9989414,306.4573112,103.326603,476.0145004,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_118","IL20-7727",118,2,NA,1,1,1,18,NA,NA,24,NA,NA,"NDP250045Y",11,7,35,73,86.36,NA,28,44,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,150,173,173,0,0,14.7,2236.20856,434.0522236,419.33875,1679.996632,495.9990055,328.7664641,97.06438465,471.6151058,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_119","IL23-2443",119,2,NA,1,1,1,19,NA,NA,24,NA,NA,"NDP250044Y",18,4,32,52,71.12,NA,30,39,71.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,152,175,177,0,0,11.1,2381.358,481.7337783,353.67625,2193.995601,144.9997093,429.3533466,28.37567696,434.6601908,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_120","IL23-543",120,2,NA,1,1,1,20,NA,NA,24,NA,NA,"NDP250185G",17,6,38,62,81.28,NA,32,47,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,152,174,180,4,10,15,2208.99304,427.2616584,409.03875,1802.996385,361.9992742,352.836866,70.84134525,447.8583747,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
