"plot_subplot","subplot_name","accession_name","plot_number","subplot_number","block_number","row_number","col_number","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3","Above ground dry biomass - g|timepoint 1|COMP:0000110","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Above ground dry biomass - g|timepoint 2|COMP:0000111","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 3|COMP:0000128"
"12_2","B4I_2025_PM3D_IA_12_subplot_2","NO_OATS_PLANTED",12,2,1,10,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12_3","B4I_2025_PM3D_IA_12_subplot_3","NO_OATS_PLANTED",12,3,1,10,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13_1","B4I_2025_PM3D_IA_13_subplot_1","ND210038",13,1,1,9,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13_2","B4I_2025_PM3D_IA_13_subplot_2","ND210038",13,2,1,9,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13_3","B4I_2025_PM3D_IA_13_subplot_3","ND210038",13,3,1,9,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14_1","B4I_2025_PM3D_IA_14_subplot_1","SD Momentum",14,1,1,8,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14_2","B4I_2025_PM3D_IA_14_subplot_2","SD Momentum",14,2,1,8,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14_3","B4I_2025_PM3D_IA_14_subplot_3","SD Momentum",14,3,1,8,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15_1","B4I_2025_PM3D_IA_15_subplot_1","IL17-1704",15,1,1,7,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15_2","B4I_2025_PM3D_IA_15_subplot_2","IL17-1704",15,2,1,7,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15_3","B4I_2025_PM3D_IA_15_subplot_3","IL17-1704",15,3,1,7,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16_1","B4I_2025_PM3D_IA_16_subplot_1","ND190393",16,1,1,6,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16_2","B4I_2025_PM3D_IA_16_subplot_2","ND190393",16,2,1,6,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16_3","B4I_2025_PM3D_IA_16_subplot_3","ND190393",16,3,1,6,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_1","B4I_2025_PM3D_IA_17_subplot_1","NO_OATS_PLANTED",17,1,1,5,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_2","B4I_2025_PM3D_IA_17_subplot_2","NO_OATS_PLANTED",17,2,1,5,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_3","B4I_2025_PM3D_IA_17_subplot_3","NO_OATS_PLANTED",17,3,1,5,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18_1","B4I_2025_PM3D_IA_18_subplot_1","ND210038",18,1,1,4,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18_2","B4I_2025_PM3D_IA_18_subplot_2","ND210038",18,2,1,4,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18_3","B4I_2025_PM3D_IA_18_subplot_3","ND210038",18,3,1,4,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_1","B4I_2025_PM3D_IA_19_subplot_1","ND190393",19,1,1,3,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_2","B4I_2025_PM3D_IA_19_subplot_2","ND190393",19,2,1,3,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_3","B4I_2025_PM3D_IA_19_subplot_3","ND190393",19,3,1,3,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_1","B4I_2025_PM3D_IA_20_subplot_1","ND Spilde",20,1,1,2,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_2","B4I_2025_PM3D_IA_20_subplot_2","ND Spilde",20,2,1,2,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_3","B4I_2025_PM3D_IA_20_subplot_3","ND Spilde",20,3,1,2,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
