bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
785,195,NDP170011G,4,60.0
786,195,NDP170011G,5,120.0
787,196,NDP170012G,1,203.5
788,196,NDP170012G,2,135.7
789,196,NDP170012G,4,67.8
790,196,NDP170012G,5,67.8
791,197,NDP170017G,2,171.5
792,197,NDP170017G,3,57.2
793,197,NDP170017G,4,171.5
794,198,NDP170022G,1,408.6
795,198,NDP170022G,2,136.2
796,198,NDP170022G,4,136.2
797,199,NDP170027G,1,63.0
798,199,NDP170027G,2,63.0
799,199,NDP170027G,3,189.0
800,199,NDP170027G,4,189.0
801,199,NDP170027G,5,63.0
802,200,NDP170028G,1,56.1
803,200,NDP170028G,2,168.3
804,200,NDP170028G,3,56.1
805,200,NDP170028G,4,168.3
806,200,NDP170028G,5,168.3
807,201,NDP170031G,1,162.9
808,201,NDP170031G,2,162.9
809,201,NDP170031G,4,108.6
810,201,NDP170031G,5,108.6
811,202,NDP170037G,1,61.2
812,202,NDP170037G,4,244.8
813,202,NDP170037G,5,183.6
814,203,NDP170039G,1,196.3
815,203,NDP170039G,2,130.8
816,203,NDP170039G,3,130.8
817,203,NDP170039G,4,130.8
818,203,NDP170039G,5,196.3
819,204,NDP170043G,1,202.8
820,204,NDP170043G,2,152.1
821,204,NDP170043G,4,101.4
822,204,NDP170043G,5,152.1
823,205,NDP170052G,1,133.2
824,205,NDP170052G,2,66.6
825,205,NDP170052G,3,133.2
826,205,NDP170052G,5,133.2
827,206,NDP170054Y,1,216.2
828,206,NDP170054Y,2,144.1
829,206,NDP170054Y,3,216.2
830,206,NDP170054Y,4,288.3
831,206,NDP170054Y,5,144.1
832,207,NDP170056G,1,306.3
833,207,NDP170056G,2,61.3
834,207,NDP170056G,3,183.8
835,207,NDP170056G,4,245.1
836,207,NDP170056G,5,122.5
837,208,NDP170057G,1,51.2
838,208,NDP170057G,2,204.6
839,208,NDP170057G,3,306.9
840,208,NDP170057G,4,51.2
841,208,NDP170057G,5,102.3
842,209,NDP170084G,1,229.6
843,209,NDP170084G,2,172.2
844,209,NDP170084G,3,57.4
845,209,NDP170084G,5,114.8
846,210,NDP170089G,1,57.8
847,210,NDP170089G,3,115.6
848,210,NDP170089G,4,115.6
849,210,NDP170089G,5,288.9
850,211,NDP170094Y,1,60.0
851,211,NDP170094Y,2,180.0
852,211,NDP170094Y,3,60.0
853,211,NDP170094Y,4,120.0
854,211,NDP170094Y,5,240.0
855,212,NDP170099G,1,54.9
856,212,NDP170099G,2,164.7
857,212,NDP170099G,3,54.9
858,212,NDP170099G,4,164.7
859,213,NDP170101G,1,132.0
860,213,NDP170101G,2,264.0
861,213,NDP170101G,3,264.0
862,213,NDP170101G,4,264.0
863,213,NDP170101G,5,198.0
864,214,NDP170104Y,1,139.6
865,214,NDP170104Y,3,139.6
866,214,NDP170104Y,4,69.8
867,214,NDP170104Y,5,279.1
868,215,NDP170110Y,1,73.0
869,215,NDP170110Y,2,146.0
870,215,NDP170110Y,3,73.0
871,215,NDP170110Y,4,292.0
872,215,NDP170110Y,5,146.0
873,216,NDP170111G,1,61.2
874,216,NDP170111G,2,244.8
875,216,NDP170111G,3,122.4
876,216,NDP170111G,4,61.2
877,216,NDP170111G,5,122.4
878,217,NDP170133G,2,295.5
879,217,NDP170133G,3,295.5
880,217,NDP170133G,4,59.1
881,218,NDP170151Y,1,74.4
882,218,NDP170151Y,2,74.4
883,218,NDP170151Y,4,297.6
884,218,NDP170151Y,5,297.6
885,219,NDP170153Y,1,62.7
886,219,NDP170153Y,2,188.1
887,219,NDP170153Y,3,188.1
888,219,NDP170153Y,4,188.1
889,219,NDP170153Y,5,125.4
890,220,NDP170156Y,1,65.9
891,220,NDP170156Y,2,263.5
892,220,NDP170156Y,3,65.9
893,220,NDP170156Y,4,197.6
894,220,NDP170156Y,5,263.5
895,221,NDP170161Y,1,130.4
896,221,NDP170161Y,2,130.4
897,221,NDP170161Y,3,65.2
898,221,NDP170161Y,4,130.4
899,221,NDP170161Y,5,195.7
900,222,NDP170177Y,1,50.1
901,222,NDP170177Y,2,150.3
902,222,NDP170177Y,3,50.1
903,222,NDP170177Y,4,300.6
904,222,NDP170177Y,5,50.1
905,223,NDP170181Y,1,60.3
906,223,NDP170181Y,2,60.3
907,223,NDP170181Y,3,120.6
908,223,NDP170181Y,4,361.8
909,223,NDP170181Y,5,60.3
910,224,NDP170182Y,1,114.6
911,224,NDP170182Y,2,171.9
912,224,NDP170182Y,3,114.6
913,224,NDP170182Y,4,114.6
914,224,NDP170182Y,5,286.5
915,225,NDP170183Y,1,300.0
916,225,NDP170183Y,2,60.0
917,225,NDP170183Y,3,60.0
918,225,NDP170183Y,4,60.0
919,225,NDP170183Y,5,300.0
920,226,NDP170185Y,1,124.2
921,226,NDP170185Y,2,124.2
922,226,NDP170185Y,3,248.4
923,226,NDP170185Y,4,62.1
924,226,NDP170185Y,5,124.2
925,227,NDP170190Y,1,150.4
926,227,NDP170190Y,2,150.4
927,227,NDP170190Y,3,225.5
928,227,NDP170190Y,4,150.4
929,227,NDP170190Y,5,150.4
930,228,NDP170200Y,2,52.8
931,228,NDP170200Y,3,158.4
932,228,NDP170200Y,4,52.8
933,228,NDP170200Y,5,52.8
934,229,NDP170202Y,1,65.4
935,229,NDP170202Y,2,130.8
936,229,NDP170202Y,4,196.3
937,229,NDP170202Y,5,196.3
938,230,NDP170245Y,1,231.6
939,230,NDP170245Y,3,115.8
940,230,NDP170245Y,4,57.9
941,231,NDP170247Y,1,183.8
942,231,NDP170247Y,2,61.3
943,231,NDP170247Y,3,245.1
944,231,NDP170247Y,4,61.3
945,231,NDP170247Y,5,61.3
946,232,NDP170249Y,3,57.6
947,232,NDP170249Y,4,172.8
948,232,NDP170249Y,5,57.6
949,233,NDP170252Y,1,92.4
950,233,NDP170252Y,2,92.4
951,233,NDP170252Y,3,92.4
952,233,NDP170252Y,5,46.2
953,234,NDP170253Y,1,116.4
954,234,NDP170253Y,2,58.2
955,234,NDP170253Y,3,116.4
956,234,NDP170253Y,4,116.4
957,234,NDP170253Y,5,116.4
958,235,NDP170273Y,1,294.9
959,235,NDP170273Y,2,147.5
960,235,NDP170273Y,3,147.5
961,235,NDP170273Y,4,147.5
962,235,NDP170273Y,5,294.9
963,236,NDP170322Y,1,59.4
964,236,NDP170322Y,2,237.6
965,236,NDP170322Y,3,118.8
966,236,NDP170322Y,4,59.4
967,236,NDP170322Y,5,59.4
968,237,NDP170328G,1,322.5
969,237,NDP170328G,2,193.5
970,237,NDP170328G,3,64.5
971,237,NDP170328G,4,64.5
972,237,NDP170328G,5,193.5
973,238,NDP170336G,1,212.4
974,238,NDP170336G,2,212.4
975,238,NDP170336G,3,106.2
976,238,NDP170336G,4,159.3
977,238,NDP170336G,5,106.2
978,239,NDP170350Y,1,60.3
979,239,NDP170350Y,2,180.9
980,239,NDP170350Y,3,120.6
981,239,NDP170350Y,4,120.6
982,239,NDP170350Y,5,120.6
