bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
178,43,NDP250069Y,5,249.6
179,44,NDP250070Y,1,192.6
180,44,NDP250070Y,2,128.4
181,44,NDP250070Y,3,128.4
182,44,NDP250070Y,4,64.2
183,45,NDP250071Y,2,59.1
184,45,NDP250071Y,3,118.2
185,45,NDP250071Y,5,177.3
186,46,NDP250072Y,1,122.4
187,46,NDP250072Y,2,122.4
188,46,NDP250072Y,3,183.6
189,46,NDP250072Y,5,61.2
190,47,NDP250073Y,1,166.5
191,47,NDP250073Y,2,166.5
192,47,NDP250073Y,3,277.5
193,47,NDP250073Y,4,111.0
194,47,NDP250073Y,5,55.5
195,48,NDP250074Y,1,56.2
196,48,NDP250074Y,2,168.6
197,48,NDP250074Y,3,281.1
198,48,NDP250074Y,4,56.2
199,48,NDP250074Y,5,56.2
200,49,NDP250075Y,3,63.0
201,49,NDP250075Y,4,63.0
202,49,NDP250075Y,5,189.0
203,50,NDP250076Y,1,174.6
204,50,NDP250076Y,2,58.2
205,50,NDP250076Y,3,291.0
206,50,NDP250076Y,4,232.8
207,50,NDP250076Y,5,58.2
208,51,NDP250077Y,1,56.1
209,51,NDP250077Y,3,56.1
210,51,NDP250077Y,4,56.1
211,51,NDP250077Y,5,280.5
212,52,NDP250078Y,2,57.0
213,52,NDP250078Y,3,114.0
214,52,NDP250078Y,4,114.0
215,52,NDP250078Y,5,114.0
216,53,NDP250079Y,1,246.0
217,53,NDP250079Y,2,61.5
218,53,NDP250079Y,3,307.5
219,53,NDP250079Y,4,61.5
220,53,NDP250079Y,5,123.0
221,54,NDP250080Y,1,110.4
222,54,NDP250080Y,2,110.4
223,54,NDP250080Y,3,165.6
224,54,NDP250080Y,4,220.8
225,54,NDP250080Y,5,55.2
226,55,NDP250081Y,1,249.6
227,55,NDP250081Y,2,187.2
228,55,NDP250081Y,3,124.8
229,55,NDP250081Y,5,124.8
230,56,NDP250082Y,1,107.4
231,56,NDP250082Y,2,107.4
232,56,NDP250082Y,5,53.7
233,57,NDP250083Y,1,320.4
234,57,NDP250083Y,3,53.4
235,57,NDP250083Y,4,106.8
236,58,NDP250084Y,1,130.1
237,58,NDP250084Y,2,130.1
238,58,NDP250084Y,3,130.1
239,58,NDP250084Y,4,65.1
240,58,NDP250084Y,5,390.3
241,59,NDP250085Y,1,111.6
242,59,NDP250085Y,2,111.6
243,59,NDP250085Y,3,111.6
244,59,NDP250085Y,5,55.8
245,60,NDP250086Y,1,142.8
246,60,NDP250086Y,2,71.4
247,60,NDP250086Y,4,71.4
248,61,NDP250087Y,1,77.1
249,61,NDP250087Y,2,77.1
250,61,NDP250087Y,3,77.1
251,61,NDP250087Y,5,231.2
252,62,NDP250088Y,4,474.6
253,62,NDP250088Y,5,203.4
254,63,NDP250089Y,1,130.8
255,63,NDP250089Y,2,65.4
256,63,NDP250089Y,3,130.8
257,63,NDP250089Y,4,65.4
258,63,NDP250089Y,5,327.0
259,64,NDP250090Y,2,126.0
260,64,NDP250090Y,3,189.0
261,64,NDP250090Y,4,126.0
262,64,NDP250090Y,5,126.0
263,65,NDP250091Y,1,120.0
264,65,NDP250091Y,2,60.0
265,65,NDP250091Y,3,180.0
266,65,NDP250091Y,4,240.0
267,65,NDP250091Y,5,240.0
268,66,NDP250092Y,2,138.6
269,66,NDP250092Y,5,69.3
270,67,NDP250093Y,1,54.6
271,67,NDP250093Y,2,109.2
272,67,NDP250093Y,3,109.2
273,67,NDP250093Y,4,109.2
274,67,NDP250093Y,5,54.6
275,68,NDP250094Y,1,51.6
276,68,NDP250094Y,2,51.6
277,68,NDP250094Y,3,51.6
278,68,NDP250094Y,4,154.8
