observationunit_name,Plot score - 1-9 Rating,Plot size - feet,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,,,,,,
B4I_2025_IA_2256,5,104.52,2,7/3/2025,6/5/2025,6/5/2025,7/7/2025,183,155,155,187,,,,,,1/1/2025
B4I_2025_IA_2395,7,104.52,3,7/3/2025,6/7/2025,6/4/2025,7/7/2025,183,157,154,187,,,,,,1/1/2025
B4I_2025_IA_2272,5,104.52,5,7/3/2025,6/4/2025,6/4/2025,7/7/2025,183,154,154,187,,,,,,1/1/2025
B4I_2025_IA_2133,3,104.52,7,7/4/2025,6/9/2025,6/3/2025,7/7/2025,184,159,153,187,,,,,,1/1/2025
B4I_2025_IA_2036,7,104.52,0,7/7/2025,6/10/2025,6/11/2025,7/6/2025,187,160,161,186,,,,,,1/1/2025
B4I_2025_IA_2045,5,104.52,2,7/3/2025,6/9/2025,6/10/2025,7/6/2025,183,159,160,186,,,,,,1/1/2025
B4I_2025_IA_2355,7,104.52,3,7/1/2025,6/3/2025,6/10/2025,7/6/2025,181,153,160,186,,,,,,1/1/2025
B4I_2025_IA_2021,5,104.52,5,7/3/2025,6/7/2025,6/9/2025,7/6/2025,183,157,159,186,,,,,,1/1/2025
B4I_2025_IA_2259,3,104.52,7,7/5/2025,6/6/2025,6/7/2025,7/6/2025,185,156,157,186,,,,,,1/1/2025
B4I_2025_IA_2303,9,104.52,8,7/4/2025,6/8/2025,6/5/2025,7/6/2025,184,158,155,186,,,,,,1/1/2025
B4I_2025_IA_2081,3,104.52,7,7/5/2025,6/7/2025,6/4/2025,7/6/2025,185,157,154,186,,,,,,1/1/2025
B4I_2025_IA_2153,7,104.52,4,7/3/2025,6/7/2025,6/3/2025,7/6/2025,183,157,153,186,,,,,,1/1/2025
B4I_2025_IA_2354,7,104.52,0,7/3/2025,6/5/2025,6/3/2025,7/6/2025,183,155,153,186,,,,,,1/1/2025
B4I_2025_IA_2351,7,104.52,8,7/3/2025,6/7/2025,6/2/2025,7/6/2025,183,157,152,186,,,,,,1/1/2025
B4I_2025_IA_2047,3,104.52,0,7/5/2025,6/9/2025,6/10/2025,7/5/2025,185,159,160,185,,,,,,1/1/2025
B4I_2025_IA_2094,5,104.52,3,7/4/2025,6/8/2025,6/10/2025,7/5/2025,184,158,160,185,,,,,,1/1/2025
B4I_2025_IA_2130,9,104.52,8,7/3/2025,6/8/2025,6/10/2025,7/5/2025,183,158,160,185,,,,,,1/1/2025
B4I_2025_IA_2075,7,104.52,8,7/3/2025,6/7/2025,6/10/2025,7/5/2025,183,157,160,185,,,,,,1/1/2025
B4I_2025_IA_2110,5,104.52,8,7/2/2025,6/3/2025,6/10/2025,7/5/2025,182,153,160,185,,,,,,1/1/2025
B4I_2025_IA_2149,3,104.52,7,7/3/2025,6/6/2025,6/9/2025,7/5/2025,183,156,159,185,,,,,,1/1/2025
B4I_2025_IA_2190,7,104.52,8,7/4/2025,6/4/2025,6/9/2025,7/5/2025,184,154,159,185,,,,,,1/1/2025
B4I_2025_IA_2017,5,104.52,3,7/4/2025,6/9/2025,6/8/2025,7/5/2025,184,159,158,185,,,,,,1/1/2025
B4I_2025_IA_2348,7,104.52,5,7/3/2025,6/6/2025,6/8/2025,7/5/2025,183,156,158,185,,,,,,1/1/2025
B4I_2025_IA_2383,7,104.52,5,7/3/2025,6/6/2025,6/8/2025,7/5/2025,183,156,158,185,,,,,,1/1/2025
B4I_2025_IA_2146,7,104.52,8,6/30/2025,6/3/2025,6/8/2025,7/5/2025,180,153,158,185,,,,,,1/1/2025
B4I_2025_IA_2031,7,104.52,6,7/5/2025,6/8/2025,6/7/2025,7/5/2025,185,158,157,185,,,,,,1/1/2025
B4I_2025_IA_2058,7,104.52,7,7/4/2025,6/8/2025,6/7/2025,7/5/2025,184,158,157,185,,,,,,1/1/2025
B4I_2025_IA_2166,5,104.52,3,7/3/2025,6/8/2025,6/7/2025,7/5/2025,183,158,157,185,,,,,,1/1/2025
B4I_2025_IA_2223,7,104.52,8,7/5/2025,6/8/2025,6/7/2025,7/5/2025,185,158,157,185,,,,,,1/1/2025
B4I_2025_IA_2071,7,104.52,6,7/4/2025,6/7/2025,6/7/2025,7/5/2025,184,157,157,185,,,,,,1/1/2025
