consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
38,IL24-2320,24,2320,1,24,24,1,1,1,1,1,5,240,151,38,IL24-2320,ND,120 g,151  ( ND--38 ),IL24-2320,B4i-26 Oat seed ~120 g
38,IL24-2320,24,2320,1,24,24,1,1,1,1,1,5,240,152,38,IL24-2320,NY,120 g,152  ( NY--38 ),IL24-2320,B4i-26 Oat seed ~120 g
39,IL24-2333,24,2333,2,24,48,2,2,2,2,2,10,360,153,39,IL24-2333,AL,120 g,153  ( AL--39 ),IL24-2333,B4i-26 Oat seed ~120 g
39,IL24-2333,24,2333,2,24,48,2,2,2,2,2,10,360,154,39,IL24-2333,IA,120 g,154  ( IA--39 ),IL24-2333,B4i-26 Oat seed ~120 g
39,IL24-2333,24,2333,2,24,48,2,2,2,2,2,10,360,155,39,IL24-2333,ND,120 g,155  ( ND--39 ),IL24-2333,B4i-26 Oat seed ~120 g
39,IL24-2333,24,2333,2,24,48,2,2,2,2,2,10,360,156,39,IL24-2333,NY,120 g,156  ( NY--39 ),IL24-2333,B4i-26 Oat seed ~120 g
40,IL24-3846,24,3846,2,24,48,2,2,1,2,1,8,312,157,40,IL24-3846,AL,120 g,157  ( AL--40 ),IL24-3846,B4i-26 Oat seed ~120 g
40,IL24-3846,24,3846,2,24,48,2,2,1,2,1,8,312,158,40,IL24-3846,IA,120 g,158  ( IA--40 ),IL24-3846,B4i-26 Oat seed ~120 g
40,IL24-3846,24,3846,2,24,48,2,2,1,2,1,8,312,159,40,IL24-3846,ND,120 g,159  ( ND--40 ),IL24-3846,B4i-26 Oat seed ~120 g
40,IL24-3846,24,3846,2,24,48,2,2,1,2,1,8,312,160,40,IL24-3846,NY,120 g,160  ( NY--40 ),IL24-3846,B4i-26 Oat seed ~120 g
41,IL24-3415,24,3415,2,24,48,2,1,1,2,2,8,312,161,41,IL24-3415,AL,120 g,161  ( AL--41 ),IL24-3415,B4i-26 Oat seed ~120 g
41,IL24-3415,24,3415,2,24,48,2,1,1,2,2,8,312,162,41,IL24-3415,IA,120 g,162  ( IA--41 ),IL24-3415,B4i-26 Oat seed ~120 g
41,IL24-3415,24,3415,2,24,48,2,1,1,2,2,8,312,163,41,IL24-3415,ND,120 g,163  ( ND--41 ),IL24-3415,B4i-26 Oat seed ~120 g
41,IL24-3415,24,3415,2,24,48,2,1,1,2,2,8,312,164,41,IL24-3415,NY,120 g,164  ( NY--41 ),IL24-3415,B4i-26 Oat seed ~120 g
42,IL24-5446,24,5446,4,24,96,4,3,2,3,2,14,456,165,42,IL24-5446,AL,120 g,165  ( AL--42 ),IL24-5446,B4i-26 Oat seed ~120 g
42,IL24-5446,24,5446,4,24,96,4,3,2,3,2,14,456,166,42,IL24-5446,IA,120 g,166  ( IA--42 ),IL24-5446,B4i-26 Oat seed ~120 g
42,IL24-5446,24,5446,4,24,96,4,3,2,3,2,14,456,167,42,IL24-5446,ND,120 g,167  ( ND--42 ),IL24-5446,B4i-26 Oat seed ~120 g
42,IL24-5446,24,5446,4,24,96,4,3,2,3,2,14,456,168,42,IL24-5446,NY,120 g,168  ( NY--42 ),IL24-5446,B4i-26 Oat seed ~120 g
43,IL24-1647,24,1647,3,24,72,3,2,2,0,1,8,312,169,43,IL24-1647,AL,120 g,169  ( AL--43 ),IL24-1647,B4i-26 Oat seed ~120 g
43,IL24-1647,24,1647,3,24,72,3,2,2,0,1,8,312,170,43,IL24-1647,IA,120 g,170  ( IA--43 ),IL24-1647,B4i-26 Oat seed ~120 g
43,IL24-1647,24,1647,3,24,72,3,2,2,0,1,8,312,171,43,IL24-1647,ND,120 g,171  ( ND--43 ),IL24-1647,B4i-26 Oat seed ~120 g
43,IL24-1647,24,1647,3,24,72,3,2,2,0,1,8,312,172,43,IL24-1647,NY,120 g,172  ( NY--43 ),IL24-1647,B4i-26 Oat seed ~120 g
44,IL24-2807,24,2807,2,24,48,2,2,2,1,2,9,336,173,44,IL24-2807,AL,120 g,173  ( AL--44 ),IL24-2807,B4i-26 Oat seed ~120 g
44,IL24-2807,24,2807,2,24,48,2,2,2,1,2,9,336,174,44,IL24-2807,IA,120 g,174  ( IA--44 ),IL24-2807,B4i-26 Oat seed ~120 g
44,IL24-2807,24,2807,2,24,48,2,2,2,1,2,9,336,175,44,IL24-2807,ND,120 g,175  ( ND--44 ),IL24-2807,B4i-26 Oat seed ~120 g
44,IL24-2807,24,2807,2,24,48,2,2,2,1,2,9,336,176,44,IL24-2807,NY,120 g,176  ( NY--44 ),IL24-2807,B4i-26 Oat seed ~120 g
45,IL24-552,24,552,2,24,48,1,2,2,2,1,8,312,177,45,IL24-552,AL,120 g,177  ( AL--45 ),IL24-552,B4i-26 Oat seed ~120 g
45,IL24-552,24,552,2,24,48,1,2,2,2,1,8,312,178,45,IL24-552,IA,120 g,178  ( IA--45 ),IL24-552,B4i-26 Oat seed ~120 g
45,IL24-552,24,552,2,24,48,1,2,2,2,1,8,312,179,45,IL24-552,ND,120 g,179  ( ND--45 ),IL24-552,B4i-26 Oat seed ~120 g
45,IL24-552,24,552,2,24,48,1,2,2,2,1,8,312,180,45,IL24-552,NY,120 g,180  ( NY--45 ),IL24-552,B4i-26 Oat seed ~120 g
46,IL24-8118,24,8118,2,24,48,1,1,2,0,0,4,216,181,46,IL24-8118,AL,120 g,181  ( AL--46 ),IL24-8118,B4i-26 Oat seed ~120 g
46,IL24-8118,24,8118,2,24,48,1,1,2,0,0,4,216,182,46,IL24-8118,IA,120 g,182  ( IA--46 ),IL24-8118,B4i-26 Oat seed ~120 g
46,IL24-8118,24,8118,2,24,48,1,1,2,0,0,4,216,183,46,IL24-8118,ND,120 g,183  ( ND--46 ),IL24-8118,B4i-26 Oat seed ~120 g
46,IL24-8118,24,8118,2,24,48,1,1,2,0,0,4,216,184,46,IL24-8118,NY,120 g,184  ( NY--46 ),IL24-8118,B4i-26 Oat seed ~120 g
47,IL24-4756,24,4756,3,24,72,2,2,3,2,2,11,384,185,47,IL24-4756,AL,120 g,185  ( AL--47 ),IL24-4756,B4i-26 Oat seed ~120 g
47,IL24-4756,24,4756,3,24,72,2,2,3,2,2,11,384,186,47,IL24-4756,IA,120 g,186  ( IA--47 ),IL24-4756,B4i-26 Oat seed ~120 g
47,IL24-4756,24,4756,3,24,72,2,2,3,2,2,11,384,187,47,IL24-4756,ND,120 g,187  ( ND--47 ),IL24-4756,B4i-26 Oat seed ~120 g
47,IL24-4756,24,4756,3,24,72,2,2,3,2,2,11,384,188,47,IL24-4756,NY,120 g,188  ( NY--47 ),IL24-4756,B4i-26 Oat seed ~120 g
48,IL24-8617,24,8617,3,24,72,3,2,2,2,2,11,384,189,48,IL24-8617,AL,120 g,189  ( AL--48 ),IL24-8617,B4i-26 Oat seed ~120 g
48,IL24-8617,24,8617,3,24,72,3,2,2,2,2,11,384,190,48,IL24-8617,IA,120 g,190  ( IA--48 ),IL24-8617,B4i-26 Oat seed ~120 g
48,IL24-8617,24,8617,3,24,72,3,2,2,2,2,11,384,191,48,IL24-8617,ND,120 g,191  ( ND--48 ),IL24-8617,B4i-26 Oat seed ~120 g
48,IL24-8617,24,8617,3,24,72,3,2,2,2,2,11,384,192,48,IL24-8617,NY,120 g,192  ( NY--48 ),IL24-8617,B4i-26 Oat seed ~120 g
49,IL24-4117,24,4117,2,24,48,2,2,2,1,2,9,336,193,49,IL24-4117,AL,120 g,193  ( AL--49 ),IL24-4117,B4i-26 Oat seed ~120 g
49,IL24-4117,24,4117,2,24,48,2,2,2,1,2,9,336,194,49,IL24-4117,IA,120 g,194  ( IA--49 ),IL24-4117,B4i-26 Oat seed ~120 g
49,IL24-4117,24,4117,2,24,48,2,2,2,1,2,9,336,195,49,IL24-4117,ND,120 g,195  ( ND--49 ),IL24-4117,B4i-26 Oat seed ~120 g
49,IL24-4117,24,4117,2,24,48,2,2,2,1,2,9,336,196,49,IL24-4117,NY,120 g,196  ( NY--49 ),IL24-4117,B4i-26 Oat seed ~120 g
50,IL24-7707,24,7707,3,24,72,3,2,2,3,3,13,432,197,50,IL24-7707,AL,120 g,197  ( AL--50 ),IL24-7707,B4i-26 Oat seed ~120 g
50,IL24-7707,24,7707,3,24,72,3,2,2,3,3,13,432,198,50,IL24-7707,IA,120 g,198  ( IA--50 ),IL24-7707,B4i-26 Oat seed ~120 g
50,IL24-7707,24,7707,3,24,72,3,2,2,3,3,13,432,199,50,IL24-7707,ND,120 g,199  ( ND--50 ),IL24-7707,B4i-26 Oat seed ~120 g
50,IL24-7707,24,7707,3,24,72,3,2,2,3,3,13,432,200,50,IL24-7707,NY,120 g,200  ( NY--50 ),IL24-7707,B4i-26 Oat seed ~120 g
51,IL24-2709,24,2709,2,24,48,0,2,1,2,1,6,264,201,51,IL24-2709,AL,120 g,201  ( AL--51 ),IL24-2709,B4i-26 Oat seed ~120 g
51,IL24-2709,24,2709,2,24,48,0,2,1,2,1,6,264,202,51,IL24-2709,IA,120 g,202  ( IA--51 ),IL24-2709,B4i-26 Oat seed ~120 g
51,IL24-2709,24,2709,2,24,48,0,2,1,2,1,6,264,203,51,IL24-2709,ND,120 g,203  ( ND--51 ),IL24-2709,B4i-26 Oat seed ~120 g
51,IL24-2709,24,2709,2,24,48,0,2,1,2,1,6,264,204,51,IL24-2709,NY,120 g,204  ( NY--51 ),IL24-2709,B4i-26 Oat seed ~120 g
52,IL24-310,24,310,3,24,72,2,3,2,2,1,10,360,205,52,IL24-310,AL,120 g,205  ( AL--52 ),IL24-310,B4i-26 Oat seed ~120 g
52,IL24-310,24,310,3,24,72,2,3,2,2,1,10,360,206,52,IL24-310,IA,120 g,206  ( IA--52 ),IL24-310,B4i-26 Oat seed ~120 g
52,IL24-310,24,310,3,24,72,2,3,2,2,1,10,360,207,52,IL24-310,ND,120 g,207  ( ND--52 ),IL24-310,B4i-26 Oat seed ~120 g
52,IL24-310,24,310,3,24,72,2,3,2,2,1,10,360,208,52,IL24-310,NY,120 g,208  ( NY--52 ),IL24-310,B4i-26 Oat seed ~120 g
53,IL24-7509,24,7509,2,24,48,2,2,1,1,1,7,288,209,53,IL24-7509,AL,120 g,209  ( AL--53 ),IL24-7509,B4i-26 Oat seed ~120 g
53,IL24-7509,24,7509,2,24,48,2,2,1,1,1,7,288,210,53,IL24-7509,IA,120 g,210  ( IA--53 ),IL24-7509,B4i-26 Oat seed ~120 g
53,IL24-7509,24,7509,2,24,48,2,2,1,1,1,7,288,211,53,IL24-7509,ND,120 g,211  ( ND--53 ),IL24-7509,B4i-26 Oat seed ~120 g
53,IL24-7509,24,7509,2,24,48,2,2,1,1,1,7,288,212,53,IL24-7509,NY,120 g,212  ( NY--53 ),IL24-7509,B4i-26 Oat seed ~120 g
54,IL24-3816,24,3816,4,24,96,4,2,3,2,2,13,432,213,54,IL24-3816,AL,120 g,213  ( AL--54 ),IL24-3816,B4i-26 Oat seed ~120 g
54,IL24-3816,24,3816,4,24,96,4,2,3,2,2,13,432,214,54,IL24-3816,IA,120 g,214  ( IA--54 ),IL24-3816,B4i-26 Oat seed ~120 g
54,IL24-3816,24,3816,4,24,96,4,2,3,2,2,13,432,215,54,IL24-3816,ND,120 g,215  ( ND--54 ),IL24-3816,B4i-26 Oat seed ~120 g
54,IL24-3816,24,3816,4,24,96,4,2,3,2,2,13,432,216,54,IL24-3816,NY,120 g,216  ( NY--54 ),IL24-3816,B4i-26 Oat seed ~120 g
55,IL24-2311,24,2311,1,24,24,1,0,1,0,0,2,168,217,55,IL24-2311,AL,120 g,217  ( AL--55 ),IL24-2311,B4i-26 Oat seed ~120 g
55,IL24-2311,24,2311,1,24,24,1,0,1,0,0,2,168,218,55,IL24-2311,IA,120 g,218  ( IA--55 ),IL24-2311,B4i-26 Oat seed ~120 g
55,IL24-2311,24,2311,1,24,24,1,0,1,0,0,2,168,219,55,IL24-2311,ND,120 g,219  ( ND--55 ),IL24-2311,B4i-26 Oat seed ~120 g
55,IL24-2311,24,2311,1,24,24,1,0,1,0,0,2,168,220,55,IL24-2311,NY,120 g,220  ( NY--55 ),IL24-2311,B4i-26 Oat seed ~120 g
56,IL24-2733,24,2733,3,24,72,2,3,3,3,3,14,456,221,56,IL24-2733,AL,120 g,221  ( AL--56 ),IL24-2733,B4i-26 Oat seed ~120 g
56,IL24-2733,24,2733,3,24,72,2,3,3,3,3,14,456,222,56,IL24-2733,IA,120 g,222  ( IA--56 ),IL24-2733,B4i-26 Oat seed ~120 g
56,IL24-2733,24,2733,3,24,72,2,3,3,3,3,14,456,223,56,IL24-2733,ND,120 g,223  ( ND--56 ),IL24-2733,B4i-26 Oat seed ~120 g
56,IL24-2733,24,2733,3,24,72,2,3,3,3,3,14,456,224,56,IL24-2733,NY,120 g,224  ( NY--56 ),IL24-2733,B4i-26 Oat seed ~120 g
57,IL24-7561,24,7561,2,24,48,1,1,1,1,2,6,264,225,57,IL24-7561,AL,120 g,225  ( AL--57 ),IL24-7561,B4i-26 Oat seed ~120 g
57,IL24-7561,24,7561,2,24,48,1,1,1,1,2,6,264,226,57,IL24-7561,IA,120 g,226  ( IA--57 ),IL24-7561,B4i-26 Oat seed ~120 g
57,IL24-7561,24,7561,2,24,48,1,1,1,1,2,6,264,227,57,IL24-7561,ND,120 g,227  ( ND--57 ),IL24-7561,B4i-26 Oat seed ~120 g
57,IL24-7561,24,7561,2,24,48,1,1,1,1,2,6,264,228,57,IL24-7561,NY,120 g,228  ( NY--57 ),IL24-7561,B4i-26 Oat seed ~120 g
58,IL24-2732,24,2732,2,24,48,2,1,1,2,1,7,288,229,58,IL24-2732,AL,120 g,229  ( AL--58 ),IL24-2732,B4i-26 Oat seed ~120 g
58,IL24-2732,24,2732,2,24,48,2,1,1,2,1,7,288,230,58,IL24-2732,IA,120 g,230  ( IA--58 ),IL24-2732,B4i-26 Oat seed ~120 g
58,IL24-2732,24,2732,2,24,48,2,1,1,2,1,7,288,231,58,IL24-2732,ND,120 g,231  ( ND--58 ),IL24-2732,B4i-26 Oat seed ~120 g
58,IL24-2732,24,2732,2,24,48,2,1,1,2,1,7,288,232,58,IL24-2732,NY,120 g,232  ( NY--58 ),IL24-2732,B4i-26 Oat seed ~120 g
59,IL24-7847,24,7847,1,24,24,1,0,0,0,1,2,168,233,59,IL24-7847,AL,120 g,233  ( AL--59 ),IL24-7847,B4i-26 Oat seed ~120 g
59,IL24-7847,24,7847,1,24,24,1,0,0,0,1,2,168,234,59,IL24-7847,IA,120 g,234  ( IA--59 ),IL24-7847,B4i-26 Oat seed ~120 g
59,IL24-7847,24,7847,1,24,24,1,0,0,0,1,2,168,235,59,IL24-7847,ND,120 g,235  ( ND--59 ),IL24-7847,B4i-26 Oat seed ~120 g
59,IL24-7847,24,7847,1,24,24,1,0,0,0,1,2,168,236,59,IL24-7847,NY,120 g,236  ( NY--59 ),IL24-7847,B4i-26 Oat seed ~120 g
60,IL24-4822,24,4822,1,24,24,1,0,0,0,1,2,168,237,60,IL24-4822,AL,120 g,237  ( AL--60 ),IL24-4822,B4i-26 Oat seed ~120 g
60,IL24-4822,24,4822,1,24,24,1,0,0,0,1,2,168,238,60,IL24-4822,IA,120 g,238  ( IA--60 ),IL24-4822,B4i-26 Oat seed ~120 g
60,IL24-4822,24,4822,1,24,24,1,0,0,0,1,2,168,239,60,IL24-4822,ND,120 g,239  ( ND--60 ),IL24-4822,B4i-26 Oat seed ~120 g
60,IL24-4822,24,4822,1,24,24,1,0,0,0,1,2,168,240,60,IL24-4822,NY,120 g,240  ( NY--60 ),IL24-4822,B4i-26 Oat seed ~120 g
61,IL24-3774,24,3774,2,24,48,1,0,1,0,2,4,216,241,61,IL24-3774,AL,120 g,241  ( AL--61 ),IL24-3774,B4i-26 Oat seed ~120 g
61,IL24-3774,24,3774,2,24,48,1,0,1,0,2,4,216,242,61,IL24-3774,IA,120 g,242  ( IA--61 ),IL24-3774,B4i-26 Oat seed ~120 g
61,IL24-3774,24,3774,2,24,48,1,0,1,0,2,4,216,243,61,IL24-3774,ND,120 g,243  ( ND--61 ),IL24-3774,B4i-26 Oat seed ~120 g
61,IL24-3774,24,3774,2,24,48,1,0,1,0,2,4,216,244,61,IL24-3774,NY,120 g,244  ( NY--61 ),IL24-3774,B4i-26 Oat seed ~120 g
62,IL24-6747,24,6747,3,24,72,2,3,2,1,1,9,336,245,62,IL24-6747,AL,120 g,245  ( AL--62 ),IL24-6747,B4i-26 Oat seed ~120 g
62,IL24-6747,24,6747,3,24,72,2,3,2,1,1,9,336,246,62,IL24-6747,IA,120 g,246  ( IA--62 ),IL24-6747,B4i-26 Oat seed ~120 g
62,IL24-6747,24,6747,3,24,72,2,3,2,1,1,9,336,247,62,IL24-6747,ND,120 g,247  ( ND--62 ),IL24-6747,B4i-26 Oat seed ~120 g
62,IL24-6747,24,6747,3,24,72,2,3,2,1,1,9,336,248,62,IL24-6747,NY,120 g,248  ( NY--62 ),IL24-6747,B4i-26 Oat seed ~120 g
63,IL24-4758,24,4758,2,24,48,1,2,1,1,1,6,264,249,63,IL24-4758,AL,120 g,249  ( AL--63 ),IL24-4758,B4i-26 Oat seed ~120 g
63,IL24-4758,24,4758,2,24,48,1,2,1,1,1,6,264,250,63,IL24-4758,IA,120 g,250  ( IA--63 ),IL24-4758,B4i-26 Oat seed ~120 g
63,IL24-4758,24,4758,2,24,48,1,2,1,1,1,6,264,251,63,IL24-4758,ND,120 g,251  ( ND--63 ),IL24-4758,B4i-26 Oat seed ~120 g
63,IL24-4758,24,4758,2,24,48,1,2,1,1,1,6,264,252,63,IL24-4758,NY,120 g,252  ( NY--63 ),IL24-4758,B4i-26 Oat seed ~120 g
64,IL24-1774,24,1774,2,24,48,1,2,1,2,1,7,288,253,64,IL24-1774,AL,120 g,253  ( AL--64 ),IL24-1774,B4i-26 Oat seed ~120 g
64,IL24-1774,24,1774,2,24,48,1,2,1,2,1,7,288,254,64,IL24-1774,IA,120 g,254  ( IA--64 ),IL24-1774,B4i-26 Oat seed ~120 g
64,IL24-1774,24,1774,2,24,48,1,2,1,2,1,7,288,255,64,IL24-1774,ND,120 g,255  ( ND--64 ),IL24-1774,B4i-26 Oat seed ~120 g
64,IL24-1774,24,1774,2,24,48,1,2,1,2,1,7,288,256,64,IL24-1774,NY,120 g,256  ( NY--64 ),IL24-1774,B4i-26 Oat seed ~120 g
65,IL24-7147,24,7147,1,24,24,0,1,1,1,1,4,216,257,65,IL24-7147,AL,120 g,257  ( AL--65 ),IL24-7147,B4i-26 Oat seed ~120 g
65,IL24-7147,24,7147,1,24,24,0,1,1,1,1,4,216,258,65,IL24-7147,IA,120 g,258  ( IA--65 ),IL24-7147,B4i-26 Oat seed ~120 g
65,IL24-7147,24,7147,1,24,24,0,1,1,1,1,4,216,259,65,IL24-7147,ND,120 g,259  ( ND--65 ),IL24-7147,B4i-26 Oat seed ~120 g
65,IL24-7147,24,7147,1,24,24,0,1,1,1,1,4,216,260,65,IL24-7147,NY,120 g,260  ( NY--65 ),IL24-7147,B4i-26 Oat seed ~120 g
66,IL24-5271,24,5271,2,24,48,0,0,2,1,1,4,216,261,66,IL24-5271,AL,120 g,261  ( AL--66 ),IL24-5271,B4i-26 Oat seed ~120 g
66,IL24-5271,24,5271,2,24,48,0,0,2,1,1,4,216,262,66,IL24-5271,IA,120 g,262  ( IA--66 ),IL24-5271,B4i-26 Oat seed ~120 g
66,IL24-5271,24,5271,2,24,48,0,0,2,1,1,4,216,263,66,IL24-5271,ND,120 g,263  ( ND--66 ),IL24-5271,B4i-26 Oat seed ~120 g
66,IL24-5271,24,5271,2,24,48,0,0,2,1,1,4,216,264,66,IL24-5271,NY,120 g,264  ( NY--66 ),IL24-5271,B4i-26 Oat seed ~120 g
67,IL24-7535,24,7535,2,24,48,1,1,1,2,1,6,264,265,67,IL24-7535,AL,120 g,265  ( AL--67 ),IL24-7535,B4i-26 Oat seed ~120 g
67,IL24-7535,24,7535,2,24,48,1,1,1,2,1,6,264,266,67,IL24-7535,IA,120 g,266  ( IA--67 ),IL24-7535,B4i-26 Oat seed ~120 g
67,IL24-7535,24,7535,2,24,48,1,1,1,2,1,6,264,267,67,IL24-7535,ND,120 g,267  ( ND--67 ),IL24-7535,B4i-26 Oat seed ~120 g
67,IL24-7535,24,7535,2,24,48,1,1,1,2,1,6,264,268,67,IL24-7535,NY,120 g,268  ( NY--67 ),IL24-7535,B4i-26 Oat seed ~120 g
68,IL24-7337,24,7337,4,24,96,2,3,3,4,2,14,456,269,68,IL24-7337,AL,120 g,269  ( AL--68 ),IL24-7337,B4i-26 Oat seed ~120 g
68,IL24-7337,24,7337,4,24,96,2,3,3,4,2,14,456,270,68,IL24-7337,IA,120 g,270  ( IA--68 ),IL24-7337,B4i-26 Oat seed ~120 g
68,IL24-7337,24,7337,4,24,96,2,3,3,4,2,14,456,271,68,IL24-7337,ND,120 g,271  ( ND--68 ),IL24-7337,B4i-26 Oat seed ~120 g
68,IL24-7337,24,7337,4,24,96,2,3,3,4,2,14,456,272,68,IL24-7337,NY,120 g,272  ( NY--68 ),IL24-7337,B4i-26 Oat seed ~120 g
69,IL24-6924,24,6924,2,24,48,1,2,1,1,1,6,264,273,69,IL24-6924,AL,120 g,273  ( AL--69 ),IL24-6924,B4i-26 Oat seed ~120 g
69,IL24-6924,24,6924,2,24,48,1,2,1,1,1,6,264,274,69,IL24-6924,IA,120 g,274  ( IA--69 ),IL24-6924,B4i-26 Oat seed ~120 g
69,IL24-6924,24,6924,2,24,48,1,2,1,1,1,6,264,275,69,IL24-6924,ND,120 g,275  ( ND--69 ),IL24-6924,B4i-26 Oat seed ~120 g
69,IL24-6924,24,6924,2,24,48,1,2,1,1,1,6,264,276,69,IL24-6924,NY,120 g,276  ( NY--69 ),IL24-6924,B4i-26 Oat seed ~120 g
70,IL24-8746,24,8746,2,24,48,1,1,2,1,2,7,288,277,70,IL24-8746,AL,120 g,277  ( AL--70 ),IL24-8746,B4i-26 Oat seed ~120 g
70,IL24-8746,24,8746,2,24,48,1,1,2,1,2,7,288,278,70,IL24-8746,IA,120 g,278  ( IA--70 ),IL24-8746,B4i-26 Oat seed ~120 g
70,IL24-8746,24,8746,2,24,48,1,1,2,1,2,7,288,279,70,IL24-8746,ND,120 g,279  ( ND--70 ),IL24-8746,B4i-26 Oat seed ~120 g
70,IL24-8746,24,8746,2,24,48,1,1,2,1,2,7,288,280,70,IL24-8746,NY,120 g,280  ( NY--70 ),IL24-8746,B4i-26 Oat seed ~120 g
71,IL24-2673,24,2673,3,24,72,2,2,3,3,2,12,408,281,71,IL24-2673,AL,120 g,281  ( AL--71 ),IL24-2673,B4i-26 Oat seed ~120 g
71,IL24-2673,24,2673,3,24,72,2,2,3,3,2,12,408,282,71,IL24-2673,IA,120 g,282  ( IA--71 ),IL24-2673,B4i-26 Oat seed ~120 g
71,IL24-2673,24,2673,3,24,72,2,2,3,3,2,12,408,283,71,IL24-2673,ND,120 g,283  ( ND--71 ),IL24-2673,B4i-26 Oat seed ~120 g
71,IL24-2673,24,2673,3,24,72,2,2,3,3,2,12,408,284,71,IL24-2673,NY,120 g,284  ( NY--71 ),IL24-2673,B4i-26 Oat seed ~120 g
72,IL24-6217,24,6217,1,24,24,1,1,1,0,1,4,216,285,72,IL24-6217,AL,120 g,285  ( AL--72 ),IL24-6217,B4i-26 Oat seed ~120 g
72,IL24-6217,24,6217,1,24,24,1,1,1,0,1,4,216,286,72,IL24-6217,IA,120 g,286  ( IA--72 ),IL24-6217,B4i-26 Oat seed ~120 g
72,IL24-6217,24,6217,1,24,24,1,1,1,0,1,4,216,287,72,IL24-6217,ND,120 g,287  ( ND--72 ),IL24-6217,B4i-26 Oat seed ~120 g
72,IL24-6217,24,6217,1,24,24,1,1,1,0,1,4,216,288,72,IL24-6217,NY,120 g,288  ( NY--72 ),IL24-6217,B4i-26 Oat seed ~120 g
73,IL24-2553,24,2553,3,24,72,2,3,2,2,3,12,408,289,73,IL24-2553,AL,120 g,289  ( AL--73 ),IL24-2553,B4i-26 Oat seed ~120 g
73,IL24-2553,24,2553,3,24,72,2,3,2,2,3,12,408,290,73,IL24-2553,IA,120 g,290  ( IA--73 ),IL24-2553,B4i-26 Oat seed ~120 g
73,IL24-2553,24,2553,3,24,72,2,3,2,2,3,12,408,291,73,IL24-2553,ND,120 g,291  ( ND--73 ),IL24-2553,B4i-26 Oat seed ~120 g
73,IL24-2553,24,2553,3,24,72,2,3,2,2,3,12,408,292,73,IL24-2553,NY,120 g,292  ( NY--73 ),IL24-2553,B4i-26 Oat seed ~120 g
74,IL24-3327,24,3327,2,24,48,1,1,2,2,0,6,264,293,74,IL24-3327,AL,120 g,293  ( AL--74 ),IL24-3327,B4i-26 Oat seed ~120 g
74,IL24-3327,24,3327,2,24,48,1,1,2,2,0,6,264,294,74,IL24-3327,IA,120 g,294  ( IA--74 ),IL24-3327,B4i-26 Oat seed ~120 g
74,IL24-3327,24,3327,2,24,48,1,1,2,2,0,6,264,295,74,IL24-3327,ND,120 g,295  ( ND--74 ),IL24-3327,B4i-26 Oat seed ~120 g
74,IL24-3327,24,3327,2,24,48,1,1,2,2,0,6,264,296,74,IL24-3327,NY,120 g,296  ( NY--74 ),IL24-3327,B4i-26 Oat seed ~120 g
75,IL24-975,24,975,2,24,48,2,1,2,2,2,9,336,297,75,IL24-975,AL,120 g,297  ( AL--75 ),IL24-975,B4i-26 Oat seed ~120 g
75,IL24-975,24,975,2,24,48,2,1,2,2,2,9,336,298,75,IL24-975,IA,120 g,298  ( IA--75 ),IL24-975,B4i-26 Oat seed ~120 g
75,IL24-975,24,975,2,24,48,2,1,2,2,2,9,336,299,75,IL24-975,ND,120 g,299  ( ND--75 ),IL24-975,B4i-26 Oat seed ~120 g
75,IL24-975,24,975,2,24,48,2,1,2,2,2,9,336,300,75,IL24-975,NY,120 g,300  ( NY--75 ),IL24-975,B4i-26 Oat seed ~120 g
76,IL24-1207,24,1207,3,24,72,3,2,2,1,3,11,384,301,76,IL24-1207,AL,120 g,301  ( AL--76 ),IL24-1207,B4i-26 Oat seed ~120 g
76,IL24-1207,24,1207,3,24,72,3,2,2,1,3,11,384,302,76,IL24-1207,IA,120 g,302  ( IA--76 ),IL24-1207,B4i-26 Oat seed ~120 g
76,IL24-1207,24,1207,3,24,72,3,2,2,1,3,11,384,303,76,IL24-1207,ND,120 g,303  ( ND--76 ),IL24-1207,B4i-26 Oat seed ~120 g
76,IL24-1207,24,1207,3,24,72,3,2,2,1,3,11,384,304,76,IL24-1207,NY,120 g,304  ( NY--76 ),IL24-1207,B4i-26 Oat seed ~120 g
77,IL24-3456,24,3456,2,24,48,1,2,2,0,1,6,264,305,77,IL24-3456,AL,120 g,305  ( AL--77 ),IL24-3456,B4i-26 Oat seed ~120 g
77,IL24-3456,24,3456,2,24,48,1,2,2,0,1,6,264,306,77,IL24-3456,IA,120 g,306  ( IA--77 ),IL24-3456,B4i-26 Oat seed ~120 g
77,IL24-3456,24,3456,2,24,48,1,2,2,0,1,6,264,307,77,IL24-3456,ND,120 g,307  ( ND--77 ),IL24-3456,B4i-26 Oat seed ~120 g
77,IL24-3456,24,3456,2,24,48,1,2,2,0,1,6,264,308,77,IL24-3456,NY,120 g,308  ( NY--77 ),IL24-3456,B4i-26 Oat seed ~120 g
78,IL24-6721,24,6721,1,24,24,1,0,1,1,1,4,216,309,78,IL24-6721,AL,120 g,309  ( AL--78 ),IL24-6721,B4i-26 Oat seed ~120 g
78,IL24-6721,24,6721,1,24,24,1,0,1,1,1,4,216,310,78,IL24-6721,IA,120 g,310  ( IA--78 ),IL24-6721,B4i-26 Oat seed ~120 g
