"locationName","plot.subplot","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"IL","112.1",1,1,NA,NA
"IL","112.2",2,NA,1,NA
"IL","112.3",3,NA,NA,1
"IL","113.1",2,NA,1,NA
"IL","113.2",1,1,NA,NA
"IL","113.3",3,NA,NA,1
"IL","114.1",1,1,NA,NA
"IL","114.2",3,NA,NA,1
"IL","114.3",2,NA,1,NA
"IL","115.1",2,NA,1,NA
"IL","115.2",3,NA,NA,1
"IL","115.3",1,1,NA,NA
"IL","116.1",1,1,NA,NA
"IL","116.2",3,NA,NA,1
"IL","116.3",2,NA,1,NA
"IL","117.1",2,NA,1,NA
"IL","117.2",3,NA,NA,1
"IL","117.3",1,1,NA,NA
"IL","118.1",2,NA,1,NA
"IL","118.2",3,NA,NA,1
"IL","118.3",1,1,NA,NA
"IL","119.1",1,1,NA,NA
"IL","119.2",2,NA,1,NA
"IL","119.3",3,NA,NA,1
"IL","120.1",2,NA,1,NA
"IL","120.2",1,1,NA,NA
"IL","120.3",3,NA,NA,1
"ND","101.1",2,NA,1,NA
"ND","101.2",3,NA,NA,1
"ND","101.3",1,1,NA,NA
"ND","102.1",2,NA,1,NA
"ND","102.2",3,NA,NA,1
"ND","102.3",1,1,NA,NA
"ND","103.1",1,1,NA,NA
"ND","103.2",2,NA,1,NA
"ND","103.3",3,NA,NA,1
"ND","104.1",2,NA,1,NA
"ND","104.2",1,1,NA,NA
"ND","104.3",3,NA,NA,1
"ND","105.1",2,NA,1,NA
"ND","105.2",1,1,NA,NA
"ND","105.3",3,NA,NA,1
"ND","106.1",2,NA,1,NA
"ND","106.2",1,1,NA,NA
"ND","106.3",3,NA,NA,1
"ND","107.1",2,NA,1,NA
"ND","107.2",3,NA,NA,1
"ND","107.3",1,1,NA,NA
"ND","108.1",2,NA,1,NA
"ND","108.2",3,NA,NA,1
"ND","108.3",1,1,NA,NA
"ND","109.1",2,NA,1,NA
"ND","109.2",3,NA,NA,1
"ND","109.3",1,1,NA,NA
"ND","110.1",2,NA,1,NA
"ND","110.2",3,NA,NA,1
"ND","110.3",1,1,NA,NA
"ND","111.1",2,NA,1,NA
"ND","111.2",3,NA,NA,1
"ND","111.3",1,1,NA,NA
"ND","112.1",1,1,NA,NA
"ND","112.2",3,NA,NA,1
"ND","112.3",2,NA,1,NA
"ND","113.1",1,1,NA,NA
"ND","113.2",2,NA,1,NA
"ND","113.3",3,NA,NA,1
"ND","114.1",3,NA,NA,1
"ND","114.2",2,NA,1,NA
"ND","114.3",1,1,NA,NA
"ND","115.1",1,1,NA,NA
"ND","115.2",3,NA,NA,1
"ND","115.3",2,NA,1,NA
"ND","116.1",1,1,NA,NA
"ND","116.2",2,NA,1,NA
"ND","116.3",3,NA,NA,1
"ND","117.1",3,NA,NA,1
"ND","117.2",1,1,NA,NA
"ND","117.3",2,NA,1,NA
"ND","118.1",1,1,NA,NA
"ND","118.2",2,NA,1,NA
"ND","118.3",3,NA,NA,1
"ND","119.1",3,NA,NA,1
"ND","119.2",2,NA,1,NA
"ND","119.3",1,1,NA,NA
"ND","120.1",1,1,NA,NA
"ND","120.2",2,NA,1,NA
"ND","120.3",3,NA,NA,1
"NY","101.1",3,NA,NA,1
"NY","101.2",1,1,NA,NA
"NY","101.3",2,NA,1,NA
"NY","102.1",1,1,NA,NA
"NY","102.2",3,NA,NA,1
"NY","102.3",2,NA,1,NA
"NY","103.1",3,NA,NA,1
"NY","103.2",1,1,NA,NA
"NY","103.3",2,NA,1,NA
"NY","104.1",2,NA,1,NA
"NY","104.2",3,NA,NA,1
"NY","104.3",1,1,NA,NA
"NY","105.1",3,NA,NA,1
"NY","105.2",2,NA,1,NA
"NY","105.3",1,1,NA,NA
"NY","106.1",3,NA,NA,1
"NY","106.2",1,1,NA,NA
"NY","106.3",2,NA,1,NA
"NY","107.1",3,NA,NA,1
"NY","107.2",2,NA,1,NA
"NY","107.3",1,1,NA,NA
"NY","108.1",1,1,NA,NA
"NY","108.2",3,NA,NA,1
"NY","108.3",2,NA,1,NA
"NY","109.1",2,NA,1,NA
"NY","109.2",1,1,NA,NA
"NY","109.3",3,NA,NA,1
"NY","110.1",3,NA,NA,1
"NY","110.2",1,1,NA,NA
"NY","110.3",2,NA,1,NA
"NY","111.1",2,NA,1,NA
"NY","111.2",3,NA,NA,1
"NY","111.3",1,1,NA,NA
"NY","112.1",1,1,NA,NA
"NY","112.2",2,NA,1,NA
"NY","112.3",3,NA,NA,1
"NY","113.1",3,NA,NA,1
"NY","113.2",1,1,NA,NA
"NY","113.3",2,NA,1,NA
"NY","114.1",2,NA,1,NA
"NY","114.2",1,1,NA,NA
"NY","114.3",3,NA,NA,1
