X,location,oat_id,pea_id,combo,block_type,oat_total_plots,pea_total_plots,oat_used_plots,pea_used_plots,oat_plots_remaining,pea_plots_remaining,block,within_rep,row,col,plot_number,unit,gid,gid.no,row,col,rep,trt,block,plot,pedigree,crop,trial,location,year,design,field
824,IL,IL24-3578,NDP250241G,IL24-3578+NDP250241G,unique_new,147,14,12,12,135,2,1,NA,2,17,24,24,IL24-3578+NDP250241G,NA,1,24,1,NA,1,124,IL24-3578+NDP250241G,OatPea,iCrop,Urb,26,PR,M-7
825,IL,IL23-4049,NDP170028G,IL23-4049+NDP170028G,carryover,10,37,5,3,5,34,1,NA,2,16,25,25,IL23-4049+NDP170028G,NA,1,25,1,NA,1,125,IL23-4049+NDP170028G,OatPea,iCrop,Urb,26,PR,M-7
826,IL,IL24-3456,NDP250192Y,IL24-3456+NDP250192Y,unique_new,118,34,6,19,112,15,1,NA,2,15,26,26,IL24-3456+NDP250192Y,NA,1,26,1,NA,1,126,IL24-3456+NDP250192Y,OatPea,iCrop,Urb,26,PR,M-7
827,IL,IL24-3017,NDP250286G,IL24-3017+NDP250286G,unique_new,137,20,13,5,124,15,1,NA,2,14,27,27,IL24-3017+NDP250286G,NA,1,27,1,NA,1,127,IL24-3017+NDP250286G,OatPea,iCrop,Urb,26,PR,M-7
828,IL,IL24-2373,NDP250243G,IL24-2373+NDP250243G,unique_new,148,18,8,15,140,3,1,NA,2,13,28,28,IL24-2373+NDP250243G,NA,1,28,1,NA,1,128,IL24-2373+NDP250243G,OatPea,iCrop,Urb,26,PR,M-7
829,IL,IL24-3211,NDP250057G,IL24-3211+NDP250057G,unique_new,168,29,18,9,150,20,1,NA,2,12,29,29,IL24-3211+NDP250057G,NA,1,29,1,NA,1,129,IL24-3211+NDP250057G,OatPea,iCrop,Urb,26,PR,M-7
830,IL,IL24-2733,NDP250258Y,IL24-2733+NDP250258Y,between_env,139,22,14,13,125,9,1,NA,2,11,30,30,IL24-2733+NDP250258Y,NA,1,30,1,NA,1,130,IL24-2733+NDP250258Y,OatPea,iCrop,Urb,26,PR,M-7
831,IL,IL24-2647,NDP250015G,IL24-2647+NDP250015G,network_seed,166,31,11,10,155,21,1,NA,2,10,31,31,IL24-2647+NDP250015G,NA,1,31,1,NA,1,131,IL24-2647+NDP250015G,OatPea,iCrop,Urb,26,PR,M-7
832,IL,IL23-2443,NDP170054Y,IL23-2443+NDP170054Y,carryover,10,42,4,3,6,39,1,NA,2,9,32,32,IL23-2443+NDP170054Y,NA,1,32,1,NA,1,132,IL23-2443+NDP170054Y,OatPea,iCrop,Urb,26,PR,M-7
833,IL,IL24-6677,NDP250285G,IL24-6677+NDP250285G,unique_new,133,37,4,11,129,26,1,NA,2,8,33,33,IL24-6677+NDP250285G,NA,1,33,1,NA,1,133,IL24-6677+NDP250285G,OatPea,iCrop,Urb,26,PR,M-7
834,IL,IL24-7535,NDP180091G,IL24-7535+NDP180091G,unique_new,164,19,6,11,158,8,1,NA,2,7,34,34,IL24-7535+NDP180091G,NA,1,34,1,NA,1,134,IL24-7535+NDP180091G,OatPea,iCrop,Urb,26,PR,M-7
835,IL,IL24-3869,NDP250336G,IL24-3869+NDP250336G,between_env,148,21,7,14,141,7,1,NA,2,6,35,35,IL24-3869+NDP250336G,NA,1,35,1,NA,1,135,IL24-3869+NDP250336G,OatPea,iCrop,Urb,26,PR,M-7
836,IL,IL24-2665,NDP250209G,IL24-2665+NDP250209G,unique_new,152,35,9,12,143,23,1,NA,2,5,36,36,IL24-2665+NDP250209G,NA,1,36,1,NA,1,136,IL24-2665+NDP250209G,OatPea,iCrop,Urb,26,PR,M-7
837,IL,IL24-7468,NDP250346G,IL24-7468+NDP250346G,unique_new,133,9,7,6,126,3,1,NA,2,4,37,37,IL24-7468+NDP250346G,NA,1,37,1,NA,1,137,IL24-7468+NDP250346G,OatPea,iCrop,Urb,26,PR,M-7
838,IL,IL24-6735,NDP250243G,IL24-6735+NDP250243G,unique_new,167,18,20,15,147,3,1,NA,2,3,38,38,IL24-6735+NDP250243G,NA,1,38,1,NA,1,138,IL24-6735+NDP250243G,OatPea,iCrop,Urb,26,PR,M-7
839,IL,IL24-2536,NDP250193Y,IL24-2536+NDP250193Y,unique_new,138,24,16,6,122,18,1,NA,2,2,39,39,IL24-2536+NDP250193Y,NA,1,39,1,NA,1,139,IL24-2536+NDP250193Y,OatPea,iCrop,Urb,26,PR,M-7
840,IL,IL24-7729,NDP250258Y,IL24-7729+NDP250258Y,unique_new,155,22,6,13,149,9,1,NA,2,1,40,40,IL24-7729+NDP250258Y,NA,1,40,1,NA,1,140,IL24-7729+NDP250258Y,OatPea,iCrop,Urb,26,PR,M-7
841,IL,IL24-7325,NDP250336G,IL24-7325+NDP250336G,unique_new,135,21,12,14,123,7,1,NA,3,1,41,41,IL24-7325+NDP250336G,NA,2,40,1,NA,1,201,IL24-7325+NDP250336G,OatPea,iCrop,Urb,26,PR,M-7
842,IL,IL24-8172,NDP250247G,IL24-8172+NDP250247G,within_env,142,16,5,7,137,9,1,1,3,2,42,42,IL24-8172+NDP250247G,NA,2,39,1,NA,1,202,IL24-8172+NDP250247G,OatPea,iCrop,Urb,26,PR,M-7
843,IL,IL24-221,NDP180080Y,IL24-221+NDP180080Y,unique_new,156,8,5,7,151,1,1,NA,3,3,43,43,IL24-221+NDP180080Y,NA,2,38,1,NA,1,203,IL24-221+NDP180080Y,OatPea,iCrop,Urb,26,PR,M-7
844,IL,IL24-6932,NDP250307G,IL24-6932+NDP250307G,unique_new,172,17,12,13,160,4,1,NA,3,4,44,44,IL24-6932+NDP250307G,NA,2,37,1,NA,1,204,IL24-6932+NDP250307G,OatPea,iCrop,Urb,26,PR,M-7
845,IL,IL24-6420,NDP250254Y,IL24-6420+NDP250254Y,unique_new,140,34,5,13,135,21,1,NA,3,5,45,45,IL24-6420+NDP250254Y,NA,2,36,1,NA,1,205,IL24-6420+NDP250254Y,OatPea,iCrop,Urb,26,PR,M-7
846,IL,IL24-6741,NDP250282G,IL24-6741+NDP250282G,between_env,173,16,19,16,154,0,1,NA,3,6,46,46,IL24-6741+NDP250282G,NA,2,35,1,NA,1,206,IL24-6741+NDP250282G,OatPea,iCrop,Urb,26,PR,M-7
847,IL,IL24-3359,NDP250203Y,IL24-3359+NDP250203Y,unique_new,138,18,11,4,127,14,1,NA,3,7,47,47,IL24-3359+NDP250203Y,NA,2,34,1,NA,1,207,IL24-3359+NDP250203Y,OatPea,iCrop,Urb,26,PR,M-7
848,IL,IL24-2715,NDP250294Y,IL24-2715+NDP250294Y,between_env,125,10,14,10,111,0,1,NA,3,8,48,48,IL24-2715+NDP250294Y,NA,2,33,1,NA,1,208,IL24-2715+NDP250294Y,OatPea,iCrop,Urb,26,PR,M-7
849,IL,IL24-1676,NDP250207G,IL24-1676+NDP250207G,unique_new,141,11,4,5,137,6,1,NA,3,9,49,49,IL24-1676+NDP250207G,NA,2,32,1,NA,1,209,IL24-1676+NDP250207G,OatPea,iCrop,Urb,26,PR,M-7
850,IL,IL24-4920,NDP250383G,IL24-4920+NDP250383G,unique_new,126,8,11,6,115,2,1,NA,3,10,50,50,IL24-4920+NDP250383G,NA,2,31,1,NA,1,210,IL24-4920+NDP250383G,OatPea,iCrop,Urb,26,PR,M-7
851,IL,IL24-7710,NDP180105Y,IL24-7710+NDP180105Y,unique_new,161,22,7,12,154,10,1,NA,3,11,51,51,IL24-7710+NDP180105Y,NA,2,30,1,NA,1,211,IL24-7710+NDP180105Y,OatPea,iCrop,Urb,26,PR,M-7
852,IL,IL24-3021,NDP250240G,IL24-3021+NDP250240G,unique_new,140,17,10,15,130,2,1,NA,3,12,52,52,IL24-3021+NDP250240G,NA,2,29,1,NA,1,212,IL24-3021+NDP250240G,OatPea,iCrop,Urb,26,PR,M-7
853,IL,IL24-2026,NDP250323G,IL24-2026+NDP250323G,between_env,154,7,14,7,140,0,1,NA,3,13,53,53,IL24-2026+NDP250323G,NA,2,28,1,NA,1,213,IL24-2026+NDP250323G,OatPea,iCrop,Urb,26,PR,M-7
854,IL,IL24-2408,NDP250263G,IL24-2408+NDP250263G,unique_new,148,20,10,12,138,8,1,NA,3,14,54,54,IL24-2408+NDP250263G,NA,2,27,1,NA,1,214,IL24-2408+NDP250263G,OatPea,iCrop,Urb,26,PR,M-7
855,IL,IL24-6977,NDP250333G,IL24-6977+NDP250333G,within_env,145,9,14,9,131,0,1,1,3,15,55,55,IL24-6977+NDP250333G,NA,2,26,1,NA,1,215,IL24-6977+NDP250333G,OatPea,iCrop,Urb,26,PR,M-7
856,IL,IL19-4877,NDP250343G,IL19-4877+NDP250343G,within_env,3,11,3,6,0,5,1,1,3,16,56,56,IL19-4877+NDP250343G,NA,2,25,1,NA,1,216,IL19-4877+NDP250343G,OatPea,iCrop,Urb,26,PR,M-7
857,IL,IL23-1209,NDP250051Y,IL23-1209+NDP250051Y,carryover,10,13,2,3,8,10,1,NA,3,17,57,57,IL23-1209+NDP250051Y,NA,2,24,1,NA,1,217,IL23-1209+NDP250051Y,OatPea,iCrop,Urb,26,PR,M-7
858,IL,IL24-6741,NDP250164Y,IL24-6741+NDP250164Y,network_seed,173,34,19,15,154,19,1,NA,3,18,58,58,IL24-6741+NDP250164Y,NA,2,23,1,NA,1,218,IL24-6741+NDP250164Y,OatPea,iCrop,Urb,26,PR,M-7
859,IL,IL24-627,NDP250245G,IL24-627+NDP250245G,unique_new,142,15,5,6,137,9,1,NA,3,19,59,59,IL24-627+NDP250245G,NA,2,22,1,NA,1,219,IL24-627+NDP250245G,OatPea,iCrop,Urb,26,PR,M-7
860,IL,IL24-7306,NDP250015G,IL24-7306+NDP250015G,unique_new,153,31,11,10,142,21,1,NA,3,20,60,60,IL24-7306+NDP250015G,NA,2,21,1,NA,1,220,IL24-7306+NDP250015G,OatPea,iCrop,Urb,26,PR,M-7
861,IL,IL24-8157,NDP250275G,IL24-8157+NDP250275G,unique_new,141,18,8,7,133,11,1,NA,4,20,61,61,IL24-8157+NDP250275G,NA,2,20,1,NA,1,221,IL24-8157+NDP250275G,OatPea,iCrop,Urb,26,PR,M-7
862,IL,IL24-7829,NDP250195Y,IL24-7829+NDP250195Y,unique_new,162,20,14,6,148,14,1,NA,4,19,62,62,IL24-7829+NDP250195Y,NA,2,19,1,NA,1,222,IL24-7829+NDP250195Y,OatPea,iCrop,Urb,26,PR,M-7
863,IL,IL24-8617,NDP250242G,IL24-8617+NDP250242G,between_env,123,14,11,14,112,0,1,NA,4,18,63,63,IL24-8617+NDP250242G,NA,2,18,1,NA,1,223,IL24-8617+NDP250242G,OatPea,iCrop,Urb,26,PR,M-7
864,IL,IL24-7458,NDP250201Y,IL24-7458+NDP250201Y,within_env,159,22,10,9,149,13,1,1,4,17,64,64,IL24-7458+NDP250201Y,NA,2,17,1,NA,1,224,IL24-7458+NDP250201Y,OatPea,iCrop,Urb,26,PR,M-7
865,IL,IL24-2166,NDP250224G,IL24-2166+NDP250224G,between_env,128,19,8,13,120,6,1,NA,4,16,65,65,IL24-2166+NDP250224G,NA,2,16,1,NA,1,225,IL24-2166+NDP250224G,OatPea,iCrop,Urb,26,PR,M-7
866,IL,IL24-2732,NDP250220Y,IL24-2732+NDP250220Y,unique_new,135,26,7,8,128,18,1,NA,4,15,66,66,IL24-2732+NDP250220Y,NA,2,15,1,NA,1,226,IL24-2732+NDP250220Y,OatPea,iCrop,Urb,26,PR,M-7
867,IL,IL24-7512,NDP250285G,IL24-7512+NDP250285G,network_seed,175,37,17,11,158,26,1,NA,4,14,67,67,IL24-7512+NDP250285G,NA,2,14,1,NA,1,227,IL24-7512+NDP250285G,OatPea,iCrop,Urb,26,PR,M-7
868,IL,IL24-6159,NDP250018G,IL24-6159+NDP250018G,unique_new,152,17,11,8,141,9,1,NA,4,13,68,68,IL24-6159+NDP250018G,NA,2,13,1,NA,1,228,IL24-6159+NDP250018G,OatPea,iCrop,Urb,26,PR,M-7
869,IL,IL24-8617,NDP250159Y,IL24-8617+NDP250159Y,unique_new,123,27,11,10,112,17,1,NA,4,12,69,69,IL24-8617+NDP250159Y,NA,2,12,1,NA,1,229,IL24-8617+NDP250159Y,OatPea,iCrop,Urb,26,PR,M-7
870,IL,IL24-2673,NDP250197Y,IL24-2673+NDP250197Y,between_env,135,17,12,10,123,7,1,NA,4,11,70,70,IL24-2673+NDP250197Y,NA,2,11,1,NA,1,230,IL24-2673+NDP250197Y,OatPea,iCrop,Urb,26,PR,M-7
871,IL,IL24-169,NDP180072Y,IL24-169+NDP180072Y,unique_new,137,21,5,11,132,10,1,NA,4,10,71,71,IL24-169+NDP180072Y,NA,2,10,1,NA,1,231,IL24-169+NDP180072Y,OatPea,iCrop,Urb,26,PR,M-7
872,IL,IL24-2175,NDP250217Y,IL24-2175+NDP250217Y,within_env,115,27,8,9,107,18,1,1,4,9,72,72,IL24-2175+NDP250217Y,NA,2,9,1,NA,1,232,IL24-2175+NDP250217Y,OatPea,iCrop,Urb,26,PR,M-7
873,IL,IL24-3471,NDP250337G,IL24-3471+NDP250337G,within_env,142,6,8,6,134,0,1,1,4,8,73,73,IL24-3471+NDP250337G,NA,2,8,1,NA,1,233,IL24-3471+NDP250337G,OatPea,iCrop,Urb,26,PR,M-7
874,IL,IL24-2246,NDP250282G,IL24-2246+NDP250282G,unique_new,157,16,13,16,144,0,1,NA,4,7,74,74,IL24-2246+NDP250282G,NA,2,7,1,NA,1,234,IL24-2246+NDP250282G,OatPea,iCrop,Urb,26,PR,M-7
875,IL,IL24-2536,NDP250379G,IL24-2536+NDP250379G,unique_new,138,9,16,5,122,4,1,NA,4,6,75,75,IL24-2536+NDP250379G,NA,2,6,1,NA,1,235,IL24-2536+NDP250379G,OatPea,iCrop,Urb,26,PR,M-7
876,IL,IL20-6928,NDP170094Y,IL20-6928+NDP170094Y,carryover,10,22,4,2,6,20,1,NA,4,5,76,76,IL20-6928+NDP170094Y,NA,2,5,1,NA,1,236,IL20-6928+NDP170094Y,OatPea,iCrop,Urb,26,PR,M-7
877,IL,IL24-5370,NDP150221G,IL24-5370+NDP150221G,unique_new,186,26,13,15,173,11,1,NA,4,4,77,77,IL24-5370+NDP150221G,NA,2,4,1,NA,1,237,IL24-5370+NDP150221G,OatPea,iCrop,Urb,26,PR,M-7
