"","pea_id","AL","IA","IL","ND","NY"
"227","NDP250375Y",1,0,0,0,1
"228","NDP250377G",3,2,2,2,1
"229","NDP250378G",2,2,0,2,2
"230","NDP250379G",1,1,1,1,1
"231","NDP250380G",2,2,2,2,2
"232","NDP250382G",1,0,1,2,1
"233","NDP250383G",1,1,1,1,2
"234","NDP250385G",1,2,1,1,1
"235","NDP250386G",1,1,0,0,1
"236","CDC AMARILLO",0,1,1,1,0
"237","ND VICTORY",0,1,0,1,0
"238","NDP140510Y",0,1,0,0,1
"239","NDP150106G",0,1,0,0,0
"240","NDP150338Y",0,1,1,1,1
"241","NDP160153Y",0,1,0,0,0
"242","NDP170012G",0,1,0,0,0
"243","NDP170031G",0,1,0,0,1
"244","NDP170151Y",0,1,0,1,1
"245","NDP170156Y",0,1,1,1,0
"246","NDP170181Y",0,1,0,1,1
"247","NDP250059Y",0,1,1,1,1
"248","NDP250070Y",0,1,0,1,0
"249","NDP250084Y",0,1,1,0,1
"250","NDP250089Y",0,1,0,0,1
"251","NDP250099Y",0,1,0,0,0
"252","NDP250138G",0,1,0,0,0
"253","NDP250141G",0,1,1,1,1
"254","NDP250170Y",0,1,0,0,0
"255","NDP250203Y",0,1,1,0,2
"256","NDP250247G",0,2,2,2,1
"257","NDP250343G",0,2,2,1,1
"258","NDP250367G",0,1,0,1,1
"259","NDP170185Y",0,0,1,0,0
"260","NDP250053G",0,0,1,0,0
"261","NDP250107G",0,0,1,0,0
"262","NDP250108G",0,0,1,0,0
"263","NDP250122Y",0,0,1,0,0
"264","NDP250136G",0,0,1,0,0
"265","NDP250157Y",0,0,1,0,0
"266","NDP250177Y",0,0,1,1,1
"267","NDP170161Y",0,0,0,1,0
"268","NDP170182Y",0,0,0,1,0
"269","NDP170336G",0,0,0,1,0
"270","NDP250030Y",0,0,0,1,0
"271","NDP250079Y",0,0,0,1,0
"272","NDP250153Y",0,0,0,1,0
"273","NDP160034Y",0,0,0,0,1
"274","NDP170001G",0,0,0,0,1
"275","NDP170017G",0,0,0,0,1
"276","NDP250073Y",0,0,0,0,1
"277","NDP250121Y",0,0,0,0,1
"278","NDP250172Y",0,0,0,0,1
