current_year,affiliation,timing,plot_id,count,missing,,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g),,,Image Name (from PlantMap3D app),Sample Date,Timing,Plot ID,Species,Dry Wt (g)
2025,ND02,2,17.3,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-10.2,7/9/2025,2,10.2,Pea,82.5,,,ND-Berti_2025_TM-1_PL-10.3,6/18/2025,1,10.3,Pea,16
2025,ND02,2,18.3,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-10.2,7/9/2025,2,10.2,Other,0,,,ND-Berti_2025_TM-1_PL-10.3,6/18/2025,1,10.3,Other,0
2025,ND02,2,19.1,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-11.1,7/9/2025,2,11.1,Oat,323.5,,,ND-Berti_2025_TM-1_PL-11.2,6/18/2025,1,11.2,Oat,67.5
2025,ND02,2,2.3,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-11.1,7/9/2025,2,11.1,Pea,0,,,ND-Berti_2025_TM-1_PL-11.2,6/18/2025,1,11.2,Pea,0
2025,ND02,2,20.1,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-11.1,7/9/2025,2,11.1,Other,8,,,ND-Berti_2025_TM-1_PL-11.2,6/18/2025,1,11.2,Other,1.39
2025,ND02,2,3.1,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-12.1,7/9/2025,2,12.1,Oat,289.5,,,ND-Berti_2025_TM-1_PL-12.2,6/18/2025,1,12.2,Oat,25.5
2025,ND02,2,4.1,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-12.1,7/9/2025,2,12.1,Pea,46.5,,,ND-Berti_2025_TM-1_PL-12.2,6/18/2025,1,12.2,Pea,13.5
2025,ND02,2,5.3,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-12.1,7/9/2025,2,12.1,Other,12.5,,,ND-Berti_2025_TM-1_PL-12.2,6/18/2025,1,12.2,Other,5.83
2025,ND02,2,6.3,3,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-13.1,7/9/2025,2,13.1,Oat,0,,,ND-Berti_2025_TM-1_PL-13.2,6/18/2025,1,13.2,Oat,0
2025,ND02,2,7.1,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-13.1,7/9/2025,2,13.1,Pea,199,,,ND-Berti_2025_TM-1_PL-13.2,6/18/2025,1,13.2,Pea,22
2025,ND02,2,8.2,2,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-13.1,7/9/2025,2,13.1,Other,37.5,,,ND-Berti_2025_TM-1_PL-13.2,6/18/2025,1,13.2,Other,14.67
2025,ND02,2,9.2,1,image,delete,timepoint 2 biomass collection,ND-Berti_2025_TM-3_PL-14.1,7/9/2025,2,14.1,Oat,163.5,,,ND-Berti_2025_TM-1_PL-14.2,6/18/2025,1,14.2,Oat,31.5
2025,ND02,3,1.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-14.1,7/9/2025,2,14.1,Pea,152.5,,,ND-Berti_2025_TM-1_PL-14.2,6/18/2025,1,14.2,Pea,19
2025,ND02,3,10.2,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-14.1,7/9/2025,2,14.1,Other,11.5,,,ND-Berti_2025_TM-1_PL-14.2,6/18/2025,1,14.2,Other,0.96
2025,ND02,3,11.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-15.3,7/9/2025,2,15.3,Oat,347.5,,,ND-Berti_2025_TM-1_PL-15.1,6/18/2025,1,15.1,Oat,37
2025,ND02,3,12.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-15.3,7/9/2025,2,15.3,Pea,0,,,ND-Berti_2025_TM-1_PL-15.1,6/18/2025,1,15.1,Pea,0
2025,ND02,3,13.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-15.3,7/9/2025,2,15.3,Other,0,,,ND-Berti_2025_TM-1_PL-15.1,6/18/2025,1,15.1,Other,0.5
2025,ND02,3,14.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-16.1,7/9/2025,2,16.1,Oat,257.5,,,ND-Berti_2025_TM-1_PL-16.2,6/18/2025,1,16.2,Oat,17.5
2025,ND02,3,15.3,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-16.1,7/9/2025,2,16.1,Pea,64,,,ND-Berti_2025_TM-1_PL-16.2,6/18/2025,1,16.2,Pea,17
2025,ND02,3,16.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-16.1,7/9/2025,2,16.1,Other,3.5,,,ND-Berti_2025_TM-1_PL-16.2,6/18/2025,1,16.2,Other,1
2025,ND02,3,17.3,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-17.3,7/9/2025,2,17.3,Oat,0,,,ND-Berti_2025_TM-1_PL-17.2,6/18/2025,1,17.2,Oat,0
2025,ND02,3,18.3,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-17.3,7/9/2025,2,17.3,Pea,246.5,,,ND-Berti_2025_TM-1_PL-17.2,6/18/2025,1,17.2,Pea,29
2025,ND02,3,2.3,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-17.3,7/9/2025,2,17.3,Other,26.5,,,ND-Berti_2025_TM-1_PL-17.2,6/18/2025,1,17.2,Other,5.9
2025,ND02,3,20.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-18.3,7/9/2025,2,18.3,Oat,231.5,,,ND-Berti_2025_TM-1_PL-18.2,6/18/2025,1,18.2,Oat,12
2025,ND02,3,3.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-18.3,7/9/2025,2,18.3,Pea,117,,,ND-Berti_2025_TM-1_PL-18.2,6/18/2025,1,18.2,Pea,15
2025,ND02,3,4.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-18.3,7/9/2025,2,18.3,Other,7.5,,,ND-Berti_2025_TM-1_PL-18.2,6/18/2025,1,18.2,Other,5.5
2025,ND02,3,5.3,8,biomass,added biomass,,ND-Berti_2025_TM-3_PL-20.1,7/9/2025,2,20.1,Oat,315,,,ND-Berti_2025_TM-1_PL-19.2,6/18/2025,1,19.2,Oat,0
2025,ND02,3,6.3,8,biomass,added biomass,,ND-Berti_2025_TM-3_PL-20.1,7/9/2025,2,20.1,Pea,77.5,,,ND-Berti_2025_TM-1_PL-19.2,6/18/2025,1,19.2,Pea,24.5
2025,ND02,3,7.1,4,biomass,added biomass,,ND-Berti_2025_TM-3_PL-20.1,7/9/2025,2,20.1,Other,25,,,ND-Berti_2025_TM-1_PL-19.2,6/18/2025,1,19.2,Other,14.84
2025,ND02,3,8.2,4,biomass,added biomass,,,,,,,,,,ND-Berti_2025_TM-1_PL-20.2,6/18/2025,1,20.2,Oat,24
2025,ND02,3,9.2,4,biomass,added biomass,,,,,,,,,,ND-Berti_2025_TM-1_PL-20.2,6/18/2025,1,20.2,Pea,8
,,,,,,,,,,,,,,,,ND-Berti_2025_TM-1_PL-20.2,6/18/2025,1,20.2,Other,9.78
,,,,,,,,,,,,,,,,ND-Berti_2025_TM-2_PL-1.1,7/9/2025,2,1.1,Oat,326.5
