observationUnitName,observationVariableName,value,timestamp,image_name,person,subplot_id,,timestamp
B4I_2025_PM3D_NY_08_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_42_14.015-04_00,741883_Emergence|day 128|COMP:0000130_2025-05-08 10_42_14.015-04_00,Peter,741883,,2025-05-08 10:42:14.015-04:00
B4I_2025_PM3D_NY_08_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_42_30.326-04_00,741884_Emergence|day 128|COMP:0000130_2025-05-08 10_42_30.326-04_00,Peter,741884,,2025-05-08 10:42:30.326-04:00
B4I_2025_PM3D_NY_08_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_42_47.033-04_00,741885_Emergence|day 128|COMP:0000130_2025-05-08 10_42_47.033-04_00,Peter,741885,,2025-05-08 10:42:47.033-04:00
B4I_2025_PM3D_NY_09_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_43_06.490-04_00,741871_Emergence|day 128|COMP:0000130_2025-05-08 10_43_06.490-04_00,Peter,741871,,2025-05-08 10:43:06.490-04:00
B4I_2025_PM3D_NY_09_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_43_22.511-04_00,741872_Emergence|day 128|COMP:0000130_2025-05-08 10_43_22.511-04_00,Peter,741872,,2025-05-08 10:43:22.511-04:00
B4I_2025_PM3D_NY_09_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_43_36.904-04_00,741873_Emergence|day 128|COMP:0000130_2025-05-08 10_43_36.904-04_00,Peter,741873,,2025-05-08 10:43:36.904-04:00
B4I_2025_PM3D_NY_10_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_43_58.970-04_00,741913_Emergence|day 128|COMP:0000130_2025-05-08 10_43_58.970-04_00,Peter,741913,,2025-05-08 10:43:58.970-04:00
B4I_2025_PM3D_NY_10_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_44_14.967-04_00,741914_Emergence|day 128|COMP:0000130_2025-05-08 10_44_14.967-04_00,Peter,741914,,2025-05-08 10:44:14.967-04:00
B4I_2025_PM3D_NY_10_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_44_30.571-04_00,741915_Emergence|day 128|COMP:0000130_2025-05-08 10_44_30.571-04_00,Peter,741915,,2025-05-08 10:44:30.571-04:00
B4I_2025_PM3D_NY_11_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_46_52.621-04_00,741889_Emergence|day 128|COMP:0000130_2025-05-08 10_46_52.621-04_00,Peter,741889,,2025-05-08 10:46:52.621-04:00
B4I_2025_PM3D_NY_11_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_47_10.898-04_00,741890_Emergence|day 128|COMP:0000130_2025-05-08 10_47_10.898-04_00,Peter,741890,,2025-05-08 10:47:10.898-04:00
B4I_2025_PM3D_NY_11_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_47_37.533-04_00,741891_Emergence|day 128|COMP:0000130_2025-05-08 10_47_37.533-04_00,Peter,741891,,2025-05-08 10:47:37.533-04:00
B4I_2025_PM3D_NY_12_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_48_05.791-04_00,741901_Emergence|day 128|COMP:0000130_2025-05-08 10_48_05.791-04_00,Peter,741901,,2025-05-08 10:48:05.791-04:00
B4I_2025_PM3D_NY_12_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_48_26.185-04_00,741902_Emergence|day 128|COMP:0000130_2025-05-08 10_48_26.185-04_00,Peter,741902,,2025-05-08 10:48:26.185-04:00
B4I_2025_PM3D_NY_12_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_48_45.627-04_00,741903_Emergence|day 128|COMP:0000130_2025-05-08 10_48_45.627-04_00,Peter,741903,,2025-05-08 10:48:45.627-04:00
B4I_2025_PM3D_NY_13_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_49_08.261-04_00,741877_Emergence|day 128|COMP:0000130_2025-05-08 10_49_08.261-04_00,Peter,741877,,2025-05-08 10:49:08.261-04:00
B4I_2025_PM3D_NY_13_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_49_24.892-04_00,741878_Emergence|day 128|COMP:0000130_2025-05-08 10_49_24.892-04_00,Peter,741878,,2025-05-08 10:49:24.892-04:00
B4I_2025_PM3D_NY_13_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_49_45.603-04_00,741879_Emergence|day 128|COMP:0000130_2025-05-08 10_49_45.603-04_00,Peter,741879,,2025-05-08 10:49:45.603-04:00
B4I_2025_PM3D_NY_14_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_50_07.530-04_00,741862_Emergence|day 128|COMP:0000130_2025-05-08 10_50_07.530-04_00,Peter,741862,,2025-05-08 10:50:07.530-04:00
B4I_2025_PM3D_NY_14_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_50_26.467-04_00,741863_Emergence|day 128|COMP:0000130_2025-05-08 10_50_26.467-04_00,Peter,741863,,2025-05-08 10:50:26.467-04:00
B4I_2025_PM3D_NY_14_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_50_45.447-04_00,741864_Emergence|day 128|COMP:0000130_2025-05-08 10_50_45.447-04_00,Peter,741864,,2025-05-08 10:50:45.447-04:00
B4I_2025_PM3D_NY_15_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_51_05.039-04_00,741874_Emergence|day 128|COMP:0000130_2025-05-08 10_51_05.039-04_00,Peter,741874,,2025-05-08 10:51:05.039-04:00
B4I_2025_PM3D_NY_15_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_51_24.202-04_00,741875_Emergence|day 128|COMP:0000130_2025-05-08 10_51_24.202-04_00,Peter,741875,,2025-05-08 10:51:24.202-04:00
B4I_2025_PM3D_NY_15_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_51_41.598-04_00,741876_Emergence|day 128|COMP:0000130_2025-05-08 10_51_41.598-04_00,Peter,741876,,2025-05-08 10:51:41.598-04:00
B4I_2025_PM3D_NY_16_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_52_05.622-04_00,741907_Emergence|day 128|COMP:0000130_2025-05-08 10_52_05.622-04_00,Peter,741907,,2025-05-08 10:52:05.622-04:00
B4I_2025_PM3D_NY_16_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_52_21.766-04_00,741908_Emergence|day 128|COMP:0000130_2025-05-08 10_52_21.766-04_00,Peter,741908,,2025-05-08 10:52:21.766-04:00
B4I_2025_PM3D_NY_16_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_52_37.306-04_00,741909_Emergence|day 128|COMP:0000130_2025-05-08 10_52_37.306-04_00,Peter,741909,,2025-05-08 10:52:37.306-04:00
B4I_2025_PM3D_NY_17_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_52_55.292-04_00,741868_Emergence|day 128|COMP:0000130_2025-05-08 10_52_55.292-04_00,Peter,741868,,2025-05-08 10:52:55.292-04:00
B4I_2025_PM3D_NY_17_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_53_10.732-04_00,741869_Emergence|day 128|COMP:0000130_2025-05-08 10_53_10.732-04_00,Peter,741869,,2025-05-08 10:53:10.732-04:00
B4I_2025_PM3D_NY_17_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_53_26.989-04_00,741870_Emergence|day 128|COMP:0000130_2025-05-08 10_53_26.989-04_00,Peter,741870,,2025-05-08 10:53:26.989-04:00
B4I_2025_PM3D_NY_18_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_53_56.561-04_00,741904_Emergence|day 128|COMP:0000130_2025-05-08 10_53_56.561-04_00,Peter,741904,,2025-05-08 10:53:56.561-04:00
B4I_2025_PM3D_NY_18_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_54_22.300-04_00,741905_Emergence|day 128|COMP:0000130_2025-05-08 10_54_22.300-04_00,Peter,741905,,2025-05-08 10:54:22.300-04:00
B4I_2025_PM3D_NY_18_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_54_39.277-04_00,741906_Emergence|day 128|COMP:0000130_2025-05-08 10_54_39.277-04_00,Peter,741906,,2025-05-08 10:54:39.277-04:00
B4I_2025_PM3D_NY_19_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_54_58.560-04_00,741880_Emergence|day 128|COMP:0000130_2025-05-08 10_54_58.560-04_00,Peter,741880,,2025-05-08 10:54:58.560-04:00
B4I_2025_PM3D_NY_19_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_55_18.207-04_00,741881_Emergence|day 128|COMP:0000130_2025-05-08 10_55_18.207-04_00,Peter,741881,,2025-05-08 10:55:18.207-04:00
B4I_2025_PM3D_NY_19_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_55_33.278-04_00,741882_Emergence|day 128|COMP:0000130_2025-05-08 10_55_33.278-04_00,Peter,741882,,2025-05-08 10:55:33.278-04:00
B4I_2025_PM3D_NY_20_subplot_1,Emergence|day 128|COMP:0000130,1,2025-05-08 10_55_52.036-04_00,741856_Emergence|day 128|COMP:0000130_2025-05-08 10_55_52.036-04_00,Peter,741856,,2025-05-08 10:55:52.036-04:00
B4I_2025_PM3D_NY_20_subplot_2,Emergence|day 128|COMP:0000130,1,2025-05-08 10_56_09.840-04_00,741857_Emergence|day 128|COMP:0000130_2025-05-08 10_56_09.840-04_00,Peter,741857,,2025-05-08 10:56:09.840-04:00
B4I_2025_PM3D_NY_20_subplot_3,Emergence|day 128|COMP:0000130,1,2025-05-08 10_56_28.650-04_00,741858_Emergence|day 128|COMP:0000130_2025-05-08 10_56_28.650-04_00,Peter,741858,,2025-05-08 10:56:28.650-04:00
